"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function"
"c.hp400k_r15",-73.5901500390739,-79.6582396653523,0.686917684305742,0.635663726820443,4.23552469132914,0.349585406301824,0.3125,0.219866206299212,0.0194308726332218,0.0208993947816576,0.00854782211392018,0.0347866419294991,0.0277152747182363
"c.linear",-111.956963069937,-118.025052696215,0.706884139906524,0.635594753505201,3.99639652471159,0.462023217247098,0.244318181818182,0.273156827242301,0.0205505084098862,0.0174393137512807,0.00863031779876129,0.0318877551020408,0.0235563310880853
"c.hp400k_r20",-93.8576136946012,-99.9257033208796,0.699050203527816,0.633989145183175,4.33930308082267,0.362189054726368,0.329545454545455,0.23978111797515,0.0197240516535408,0.0191309656494891,0.00846109588113851,0.0347866419294991,0.0290509794245598
"c.bn2_r20",-84.0799833035255,-90.1480729298039,0.695545002261415,0.629659656264134,0.277324824534273,0.421558872305141,0.318181818181818,0.27895155224067,0.0201179500501903,0.0171226356044454,0.00914009882559988,0.0347866419294991,0.0298369945901451
"c.stm_r20",-87.6992436696232,-93.7673332959016,0.687875018845166,0.628239484396201,3.10552735947803,0.407296849087894,0.323863636363636,0.270778378235604,0.0199771678008225,0.0181893754788211,0.00897087690797708,0.0347866419294991,0.0298338512848497
"c.bn4",-119.059951783252,-125.128041409531,0.703757726518911,0.627172094075079,1.88746077060425,0.357545605306799,0.329545454545455,0.236439066485776,0.0208340224038841,0.0217105134116061,0.00854570683994992,0.0347866419294991,0.029041353700224
"c.hp25k_r15",-54.6350756319105,-60.7031652581888,0.656090758329569,0.613796924468566,1.69266314419881,0.454726368159204,0.278409090909091,0.284287691800086,0.0203062349847305,0.0194084944018313,0.00888415067519544,0.0333734346011131,0.0264866090251432
"c.hp25k",-55.5894943165674,-61.6575839428458,0.656916176692297,0.611740162822252,1.78465036348265,0.445771144278607,0.289772727272727,0.282680146542533,0.0204540338043351,0.0194883075346828,0.00930720546925236,0.0347866419294991,0.0284520335392947
"c.poly4_r20",2.38638497539841,-3.68170465087996,0.590053520277405,0.611318407960199,0.714283965128828,0.449419568822554,0.323863636363636,0.306865603799328,0.017034364458168,0.0167083688122468,0.00880377026432466,0.0347866419294991,0.0304454299767458
"c.quad",-88.1553453378519,-94.2234349641303,0.699798356701342,0.609859791949344,2.45694937552781,0.401658374792703,0.329545454545455,0.269929656652686,0.0216230391737629,0.0211559462658876,0.00897087690797711,0.0347866419294991,0.030128138687108
"c.bn2_r15",-62.5254691277298,-68.5935587540082,0.668343886627467,0.607035278154681,0.0955853671129328,0.507462686567164,0.301136363636364,0.348201487762096,0.0207786497980157,0.0140439961602008,0.00897087690797714,0.0347866419294991,0.0300499398556377
"c.hamilton13",-29.9493376627872,-36.0174272890656,0.633374792703146,0.602762324739937,3.31529503598482,0.439800995024876,0.323863636363636,0.298312570183548,0.0197612923783086,0.0188685298576689,0.00871492875757266,0.0347866419294991,0.0301892538117343
"c.bn3_r15",-93.9599915302624,-100.028081156541,0.653431705110811,0.583600180913614,0.156335629479346,0.48955223880597,0.323863636363636,0.344549049478615,0.0222185454785527,0.0166196643175588,0.0091400988255999,0.0347866419294991,0.0314752295179496
"c.hp3k",-20.494348285692,-26.5624379119704,0.609185134931407,0.572509045680688,0.137791472723421,0.544610281923715,0.306818181818182,0.390737755871243,0.0212014860731378,0.015421227005049,0.00922470978441126,0.0347866419294991,0.0317862587032761
"c.hp3k_r20",-20.4681772784236,-26.536266904702,0.609085255540482,0.572371099050204,0.137791472723421,0.544610281923715,0.306818181818182,0.390737755871243,0.0212072872305211,0.015423152385106,0.00879953971638407,0.03333719851577,0.0302309727831761
"c.poly3",-2.32481097294635,-8.39290059922473,0.590494497210918,0.572338308457711,0.276713083117485,0.53167495854063,0.329545454545455,0.391278468150751,0.0199483189073028,0.016366639091186,0.00939181642806377,0.0348228780148421,0.0329239380254787
