"BIC","AIC","AUC"
"c.hp221k15",-19.7162410013525,-25.7125582331493,0.637695260078376
"c.hamilton24_panel",-23.8035803629264,-29.7998975947231,0.635876858661232
"c.hp125k15",-19.4331723128518,-25.4294895446485,0.635873503677065
"c.hamilton24t1",-14.9153365097329,-20.9116537415297,0.634414085565516
"c.bn715",-78.9293789407027,-84.9256961724994,0.629358124429645
"c.bn820",-24.0250109087441,-30.0213281405408,0.627989290890546
"c.bn510",5.11902907554725,-0.877288156249506,0.627680632347413
"c.bn310",-28.1391206953402,-34.135437927137,0.627486043265867
"c.bn210",-30.5711948775355,-36.5675121093323,0.626885501100442
"c.hp25k20",-16.0652005900931,-22.0615178218899,0.620762655000266
"c.stm10",-14.3955296198698,-20.3918468516665,0.620601615760368
"c.hp25k1",-15.4197946530302,-21.4161118848269,0.61919923237962
"c.hp25k15",-15.2078877900491,-21.2042050218458,0.618709404691609
"c.hamilton20t1",-7.9064715845351,-13.9027888163318,0.614683423694242
"c.bn410",7.29653540507786,1.30021817328111,0.61106004079661
"c.hamilton13t10",-4.09860211775083,-10.0949193495476,0.606805920876052
"c.hamilton24t20",-6.68527700467234,-12.6815942364691,0.605232433302915
"c.poly615",3.99504458329864,-2.00127264849812,0.601515110848677
"c.hamilton28t20",-5.04843003432882,-11.0447472661256,0.599797358956454
"c.hamilton20_panel",-14.273859743506,-20.2701769753028,0.598002442428473
"c.poly410",3.96063832987397,-2.03567890192278,0.596640318857691
"c.hp125k10",-5.74143710661883,-11.7377543384156,0.589360003220784
"c.hp221k10",-5.7121964774899,-11.7085137092866,0.58934993826829
"c.hp400k10",-5.69377029333248,-11.6900875251292,0.589289548553329
"c.hp25k10",-5.88245249119541,-11.8787697229922,0.589235868806692
"c.bn710",3.00430331700795,-2.9920139147888,0.588917145311072
"c.linear10",-5.23806971609099,-11.2343869478877,0.587239653228838
"c.hamilton13t1",-0.0886327157144251,-6.08494994751118,0.584243652369956
"c.hp3k10",-3.30697830644294,-9.3032955382397,0.583408261313004
"c.hamilton20t20",-2.32712071559843,-8.32343794739518,0.579556739492197
"c.hp3k15",-2.41192086615149,-8.40823809794824,0.579536609587204
"c.hp3k1",-2.33554522479926,-8.33186245659601,0.579355440442323
"c.hp3k20",-2.32432868958961,-8.32064592138636,0.579328600569007
"c.hp10",-1.04143221853383,-7.03774945033058,0.579123946534978
"c.hp15",-0.390382675318165,-6.38669990711492,0.574916796392726
"c.hp1",-0.376652273653463,-6.37296950545021,0.574812791883627
"c.hp20",-0.374682036510535,-6.37099926830729,0.574775887057818
"c.hamilton24t15",-1.13687328057392,-7.13319051237067,0.568918084706633
"c.quad20",4.82528700717637,-1.17103022462038,0.568270572762892
"c.hamilton20t15",1.59054415813841,-4.40577307365834,0.561074131730095
"c.hamilton13t20",2.94132669898852,-3.05499053280823,0.559816012668416
"c.poly420",6.70060600091506,0.704288769118307,0.557829862043053
"c.hamilton28t15",-1.62032543648013,-7.61664266827688,0.55281416071716
"c.hamilton13t15",3.67324368327377,-2.32307354852298,0.551029309141656
"c.quad10",6.9237065496319,0.92738931783515,0.548994511245911
"c.poly620",7.01042178088812,1.01410454909137,0.547674324977189
"c.poly315",7.43461522143878,1.43829798964202,0.543379945246657
"c.linear2",-1.50035780642054,-7.49667503821729,0.539551908314991
"c.poly510",7.16967683938867,1.17335960759192,0.534123543936876
"c.hamilton20t10",7.1626322862237,1.16631505442695,0.531479816415274
"c.poly6",7.62785285543077,1.63153562363402,0.530986633743087
"c.poly415",7.64019462761382,1.64387739581707,0.527577969831986
"c.poly610",7.88105332893406,1.88473609713731,0.524977857104509
"c.poly320",7.70899049585171,1.71267326405496,0.523713028074521
"c.poly515",7.66869638624621,1.67237915444946,0.523263460196475
"c.poly310",7.40512706365757,1.40880983186082,0.522696467872673
"c.poly3",7.98982991251387,1.99351268071712,0.517100354286332
"c.hamilton13_panel",7.71157239396143,1.71525516216468,0.516496457136731
"c.quad15",7.55421363926359,1.55789640746684,0.516342127865152
