Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
c.hp400k20,-88.84497771,-95.22772481,0.654540959,0.587093913,2.813044312,0.449386872,0.330188679,0.310973124,2.813044312,0.449386872,0.330188679,0.389787776,-8.918071164,0.837220486,0.018867925,0.264373693,2.813044312,0.449386872,0.330188679,0.413627414
c.stm20,-87.21785732,-93.60060442,0.648195321,0.585948636,1.936233889,0.482567925,0.330188679,0.341896366,1.562655733,0.504207742,0.301886792,0.403047267,-8.60589068,0.866794903,0.014150943,0.269944131,1.936233889,0.482567925,0.330188679,0.436854151
c.bn320,-151.3352018,-157.7179489,0.670300145,0.584906114,0.23819423,0.466217841,0.330188679,0.326383639,0.215305215,0.477037749,0.316037736,0.396537743,-1.814654351,0.893003126,0.004716981,0.271202825,0.23819423,0.466217841,0.330188679,0.425409092
c.bn515,-119.5839784,-125.9667255,0.658403916,0.58312253,0.222425103,0.498918009,0.330188679,0.357943744,-0.125323939,0.60158692,0.216981132,0.409284026,-3.211191011,0.902139937,0.009433962,0.277245755,0.222425103,0.498918009,0.330188679,0.44829921
c.poly520,2.601237763,-3.781509332,0.567475854,0.583102796,-0.168244985,0.533060832,0.311320755,0.381074463,-1.223656831,0.652801154,0.179245283,0.416023219,-5.474823863,0.889877374,0.009433962,0.273566986,-0.168244985,0.533060832,0.311320755,0.466538809
c.linear20,-91.41475727,-97.79750436,0.652141072,0.581615909,0.524842651,0.524164463,0.330188679,0.383772948,-4.18962963,0.731425824,0.089622642,0.410524233,-9.188055556,0.83962491,0.014150943,0.261793133,0.524842651,0.524164463,0.330188679,0.465971728
c.hamilton20t1,-33.80485773,-40.18760482,0.625777468,0.581249121,2.785931541,0.461649435,0.316037736,0.313000051,2.785931541,0.461649435,0.316037736,0.388843585,-8.323550265,0.812695359,0.051886792,0.280129363,2.989060968,0.454436163,0.330188679,0.417161918
c.hp25k15,-55.88047615,-62.26322325,0.627503663,0.581155212,1.140319639,0.503245973,0.306603774,0.347262383,1.140319639,0.503245973,0.306603774,0.404924873,-10.13125508,0.922577543,0.009433962,0.283377036,1.358419593,0.492666506,0.330188679,0.443923158
c.bn5,-137.3539709,-143.736718,0.664642943,0.580970117,0.458597354,0.44121183,0.325471698,0.300599705,0.442588753,0.445780236,0.320754717,0.383267476,-2.660714821,0.892041356,0.009433962,0.27421618,0.458597354,0.44121183,0.325471698,0.40648979
c.hamilton13t15,-9.12983509,-15.51258219,0.564802633,0.580856474,0.063261631,0.570088964,0.316037736,0.424881277,-1.442064488,0.642221688,0.193396226,0.417808957,-8.750808987,0.868237557,0.009433962,0.267075041,0.063261631,0.570088964,0.316037736,0.493873595
