"BIC","AIC","AUC"
"c.hamilton20t1",-35.3071601416348,-41.3686470085061,0.611099506005069
"c.hp25k1",-46.0028623988746,-52.0643492657459,0.611076550850261
"c.hp25k15",-45.502331041554,-51.5638179084253,0.610382157417269
"c.stm10",-43.0039927972703,-49.0654796641415,0.608150916369784
"c.hamilton20_panel",-51.9810627342895,-58.0425496011608,0.607518501854774
"c.hamilton24t20",-25.7902821153368,-31.8517689822081,0.595799895324493
"c.hamilton28t20",-23.9443257057017,-30.005812572573,0.594116134719213
"c.bn210",-48.6280083426814,-54.6894952095527,0.593459617291662
"c.bn310",-53.834516200523,-59.8960030673943,0.589239312079921
"c.hamilton13t1",-13.2770683575741,-19.3385552244454,0.584340682043567
"c.bn410",4.88706872792227,-1.17441813894902,0.580065284460276
"c.hamilton13t10",-9.43383921700183,-15.4953260838731,0.579305468836079
"c.hp400k10",-21.6931600543787,-27.75464692125,0.576826312116644
"c.hp221k10",-21.6737802337243,-27.7352671005956,0.576726457193222
"c.hp125k10",-21.6362641473322,-27.6977510142035,0.57662430675432
"c.hamilton20t20",-18.8585328435222,-24.9200197103935,0.575742828809636
"c.hp25k10",-21.072206290384,-27.1336931572553,0.575587881514675
"c.bn710",4.2733173272627,-1.78816953960859,0.575438673008409
"c.linear10",-20.7135432523783,-26.7750301192495,0.575218877401108
"c.hp3k10",-11.8471976515405,-17.9086845184117,0.562835145260219
"c.poly615",3.87814948485311,-2.18333738201818,0.560980368751607
"c.poly410",3.4850167520035,-2.57647011486779,0.560815091636982
"c.hamilton13t20",-3.73630695233237,-9.79779381920366,0.560539629779258
"c.hamilton20t15",-10.1841043102233,-16.2455911770946,0.559868191501082
"c.hp3k15",-9.90929345897075,-15.970780325842,0.558728468064791
"c.hp3k1",-9.75741006360022,-15.8188969304715,0.558524167186985
"c.hp3k20",-9.73472470778438,-15.7962115746557,0.558471370330922
"c.hamilton24t15",-11.4342447449706,-17.4957316118418,0.556274562015647
"c.hp10",-6.35195281055849,-12.4134396774298,0.554586210379407
"c.hp15",-4.95841742024118,-11.0199042871125,0.550738926433317
"c.hp1",-4.93518104032228,-10.9966679071936,0.550664322180187
"c.hp20",-4.93118220475367,-10.992669071625,0.55064825357182
"c.quad20",2.30799863659331,-3.75348823027798,0.550183411686936
"c.linear2",-21.4641824963421,-27.5256693632134,0.54893120799207
"c.hamilton13t15",-1.67825959256629,-7.73974645943758,0.54400503176993
"c.poly6",6.10751026158778,0.0460233947164852,0.542211086421564
"c.poly610",6.5263594532089,0.464872586337606,0.53773597899144
"c.poly420",6.96731770600127,0.905830839129976,0.53659740331289
"c.hamilton28t15",-6.46732412102301,-12.5288109878943,0.536006308076539
"c.poly620",6.32991763702489,0.2684307701536,0.535238458148165
"c.bn810",3.98004690443372,-2.08143996243757,0.535043339332279
"c.poly320",5.69007932203931,-0.371407544831982,0.534670318066627
"c.hamilton20t10",5.6069290876269,-0.454557779244396,0.526073612590442
"c.hamilton28t10",7.98453317953499,1.9230463126637,0.52590374444485
"c.poly315",7.90020739439069,1.8387205275194,0.524548242553352
"c.quad10",7.38623255338689,1.3247456865156,0.523402206449488
"c.poly515",7.20960350682526,1.14811663995397,0.523042384397846
"c.poly415",7.81653928034348,1.75505241347219,0.517381643221801
"c.poly510",7.69576486611732,1.63427799924602,0.514677525985235
"c.poly520",7.66937258755752,1.60788572068623,0.510353922576856
"c.hamilton13_panel",7.64216524807989,1.5806783812086,0.509169436588685
"c.poly310",7.99067357124295,1.92918670437166,0.508884792669046
"c.quad15",7.94953551321169,1.88804864634039,0.500510752194512
"c.poly4",5.9951253282452,-0.0663615386260972,0.499530567084146
"c.poly3",7.94210607944342,1.88061921257213,0.498989973188379
"c.poly5",8.0364219322114,1.97493506534011,0.491469864472766
"c.hamilton24t10",8.05478357539369,1.99329670852239,0.489660998273771
"c.bn510",6.12000312060218,0.0585162537308861,0.407253140265176
"c.bn815",8.01139452586563,1.94990765899433,0.366976025636317
"c.bn2",6.13667448092656,0.0751876140552667,0.342365804164983
"c.bn220",7.62977691148444,1.56829004461315,0.336015260586918
