"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold1","Type I1","Type II1","Policy Loss Function1","Std.BIC","Std.AIC","Std.AUC","Std.psAUC","std.cThreshold","Std.Type I","Std.Type II","Std.Loss Function","std.cThreshold1","Std.Type I1","Std.Type II1","Std.Loss Function1"
"c.hp400k",-110.902623757343,-110.902623757343,0.670702545513934,0.593177083569617,3.30119058551392,0.448978119740322,0.325,0.307288579416294,2.73766743734412,0.446116855013224,0.330188679245283,0.308082566139206,4.62466802035139,4.62466802035139,0.00180015789491848,0.00254154954729815,0.714781007254862,0.00802599995489157,0.00519106101233307,0.00590042182821874,0.81149213995953,0.00647678851929143,0,0.00576567573848968
"c.hp221k",-100.888706735701,-100.888706735701,0.663155602535084,0.590767646431698,3.41992028605502,0.453041596537629,0.329245283018868,0.313747387658508,3.19147141150667,0.452729021399375,0.330188679245283,0.314088394454072,2.09733736148686,2.09733736148686,0.00195407222259391,0.00150564328186983,0.576183475731368,0.0102568724499573,0.00198885387431973,0.00984947884968921,0.686763593749846,0.010554816440966,0,0.00955020853974471
"c.hp125k",-88.2934146989699,-88.2934146989699,0.654034442241655,0.590543286439501,2.46385884263445,0.469055061312816,0.323584905660377,0.324816892103512,2.49741401991456,0.466650637172397,0.330188679245283,0.326862523520947,2.93428805878702,2.93428805878702,0.00122698161227653,0.00187326805127421,0.75512420535731,0.00789588872393318,0.0067445316319268,0.00889074448228437,0.892519097410648,0.00913737415467516,0,0.00845381924760995
"c.bn2_r15",-47.5773775290056,-47.5773775290056,0.663745934028044,0.590073811284462,0.112682996680095,0.50103390238038,0.32122641509434,0.354951447227453,0.149370309115644,0.498413080067324,0.330188679245283,0.358119488127118,2.87552941764225,2.87552941764225,0.0110446207697408,0.0151667478666497,0.216752492232117,0.027015714179981,0.00901863547150942,0.0293748202591274,0.242311421003686,0.0274737418714532,0,0.0287481511223661
"c.bn4",-143.63989150138,-143.63989150138,0.683549088813975,0.588919075249402,0.979689605158082,0.414570810290935,0.323584905660377,0.277186290893187,0.847167875341846,0.410964174080308,0.330188679245283,0.278376394400422,1.82034527419157,1.82034527419157,0.00434050070096614,0.00607295357950526,0.726827851966562,0.0233119773894872,0.0115969112670351,0.0186247931602038,0.728457922302575,0.0226146000325329,0,0.0185896426340682
"c.stm_r15",-66.3874274487162,-66.3874274487162,0.652995549547015,0.587902480186184,2.48331445833964,0.474248617456119,0.317924528301887,0.327182871496178,2.18707777928404,0.469487857658091,0.330188679245283,0.329922461091482,2.69068686450269,2.69068686450269,0.00235576398704289,0.00253876580563434,0.801171773297259,0.0310801105409722,0.0190245074996908,0.0208312892938891,1.28276942488885,0.0230711147289732,0,0.0222269483509505
"c.stm",-84.2480245494626,-84.2480245494626,0.649950437106164,0.587894858615324,2.36163463063857,0.47672517432075,0.325,0.33296930289938,2.13836504557392,0.474729502284203,0.330188679245283,0.334414461886289,3.86965210950093,3.86965210950093,0.00205114205980269,0.00258747667782111,0.533366064105002,0.00626797295246587,0.00683555506895728,0.00558476467824471,0.701747762985204,0.00492134190569436,0,0.0046812892105749
"c.hp400k_r15",-61.6847947379524,-61.6847947379524,0.643903537225471,0.587603401579661,2.68965935169363,0.462659293099303,0.322641509433962,0.318387004419433,2.67718016336744,0.458451550853571,0.330188679245283,0.319267462771226,2.202066948672,2.202066948672,0.00141676789862594,0.00342026964512139,0.814629383719845,0.0125388151052484,0.0102382519472325,0.00751938175346694,0.802078371435387,0.00850322745506252,0,0.00777511829115876
"c.hp400k_r20",-84.5789919780739,-84.5789919780739,0.65128001560608,0.584410439737419,2.53220789153212,0.467876893484011,0.32877358490566,0.327220546971511,2.54198439309074,0.467371964414523,0.330188679245283,0.327671853033487,4.80195922044439,4.80195922044439,0.00310107823687315,0.00250721901320629,0.613797786607647,0.0149691147082208,0.0044749212172194,0.0148690872246884,0.599920949375472,0.015301997366097,0,0.0144367482722508
"c.stm_r20",-83.5020942740098,-83.5020942740098,0.646114700104798,0.583739469302762,1.64298589420223,0.485549410916086,0.322169811320755,0.339703198373222,1.80243679776847,0.483481606155326,0.330188679245283,0.342841034825701,4.08325624945222,4.08325624945222,0.00176568983250401,0.00162907631975548,0.511707112941045,0.0101930443659928,0.00803272941788981,0.00768330840460251,0.545909317955163,0.00830043060614119,0,0.00803334110386572
"c.bn3_r15",-128.051785090972,-128.051785090972,0.662335830002678,0.582157653100573,-0.0420618632515448,0.490454436162539,0.324056603773585,0.34614733556694,0.0875091823946689,0.487352729021399,0.330188679245283,0.346866563462253,1.24096147954808,1.24096147954808,0.00632316388001934,0.00541768440289608,0.172661420221891,0.022603519471372,0.011984804402616,0.0181962403187811,0.254390721223326,0.0191287182559346,0,0.0188556827487022
