"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"c.hp400k",-121.591008308471,-127.973755403335,0.673284125810359,0.5959852921829,3.05781094110449,0.444097138735273,0.325471698113208,0.303154094905551,0.0197333385124029,0.0164491931615474,0.0076671688151096,0.0324894108586831,0.028121172412634,3.07083978660561,0.443856696321231,0.330188679245283,0.306033330770942,0.00766870224887262,0.0325194936465152,0.028445553429028
"c.bn4",-169.118646665554,-175.501393760417,0.689240655636547,0.594278604708135,1.28402362357737,0.383746092810772,0.325471698113208,0.253192890020228,0.0204080685660036,0.0205964906309396,0.00754449411406786,0.0324894108586831,0.0267876698011262,1.29795666476176,0.382543880740563,0.330188679245283,0.255364384593794,0.00748469019731,0.0324894108586831,0.0270284192612743
"c.stm_r15",-79.5530899147466,-85.9358370096099,0.657504525307695,0.592447386209493,2.00268461205346,0.47775907670113,0.316037735849057,0.328133585850914,0.0192747516473367,0.0167443198488685,0.00754602754783085,0.0324894108586831,0.0279011469651875,2.04451390095912,0.476316422216879,0.330188679245283,0.335901897975233,0.00760736489835174,0.0324894108586831,0.02886281972594
"c.hp125k",-92.2897090734825,-98.6724561683459,0.656204775277081,0.592443303225104,2.52158282717875,0.454676604953114,0.330188679245283,0.315755378993434,0.0194126574040952,0.0163756664592461,0.00772850616563046,0.0336927223719676,0.0292778528898521,2.52158282717875,0.454676604953114,0.330188679245283,0.315755378993434,0.00772850616563046,0.0336927223719676,0.0292778528898521
"c.hp221k",-106.884202931113,-113.266950025977,0.6656376033789,0.592120066960944,2.66413157844128,0.456119259437365,0.316037735849057,0.307924629310288,0.0196121691675806,0.0162618654211311,0.00766870224887262,0.0324894108586831,0.0273727077900743,2.79467153432408,0.450829526328444,0.330188679245283,0.312271825711274,0.00772850616563046,0.0312860993453985,0.0276253926695842
"c.hp400k_r15",-67.122752763051,-73.5054998579144,0.647199526373808,0.591222490892677,2.62226576277818,0.459245010819909,0.325471698113208,0.316837806235673,0.019011573434683,0.0163915548583209,0.00748469019730997,0.0312860993453985,0.0272401380147898,2.62227152489394,0.459004568405867,0.330188679245283,0.3197097577192,0.00748469019730997,0.0312860993453985,0.027531600639599
"c.stm",-89.2227721479892,-95.6055192428526,0.652325940107155,0.590334441787984,2.20642027369296,0.468381822553498,0.330188679245283,0.328406095600281,0.0195162775021613,0.0159576553087177,0.00797385556771399,0.0324894108586831,0.0287716373909277,2.20642027369296,0.468381822553498,0.330188679245283,0.328406095600281,0.00797385556771399,0.0324894108586831,0.0287716373909277
"c.bn3_r15",-144.481706358191,-150.864453453055,0.668708914969584,0.588167057574617,0.186237318594813,0.477999519115172,0.330188679245283,0.33750810417608,0.0202275923963641,0.0155640214151142,0.00760889833211472,0.0312860993453985,0.0279309806518214,0.186237318594813,0.477999519115172,0.330188679245283,0.33750810417608,0.00760889833211472,0.0312860993453985,0.0279309806518214
"c.hp400k_r20",-88.8449777106391,-95.2277248055025,0.654540959138407,0.587093913177605,2.81304431170076,0.449386871844193,0.330188679245283,0.310973124487654,0.0195352073455194,0.0155342105947797,0.00760583146458872,0.0312860993453985,0.027496553262479,2.81304431170076,0.449386871844193,0.330188679245283,0.310973124487654,0.00760583146458872,0.0312860993453985,0.027496553262479
"c.stm_r20",-87.2178573208532,-93.6006044157166,0.648195320899891,0.585948636056381,1.93623388890012,0.482567924981967,0.330188679245283,0.341896366123146,0.0196807357228648,0.0154593081419986,0.00779137694991436,0.0312860993453985,0.0281859421561433,1.93623388890012,0.482567924981967,0.330188679245283,0.341896366123146,0.00779137694991436,0.0312860993453985,0.0281859421561433
"c.hp25k_r15",-55.8804761510662,-62.2632232459296,0.627503663344313,0.581155212383238,1.14031963920152,0.503245972589565,0.306603773584906,0.347262382904121,0.019479297198903,0.0152587350057953,0.00754449411406785,0.0312860993453985,0.027078938726113,1.35841959251457,0.492666506371724,0.330188679245283,0.351744850402264,0.00754449411406785,0.0313161821332305,0.0284078935010653
"c.hp25k",-56.0387958726856,-62.4215429675489,0.62736756386467,0.578210019643692,1.28387364846273,0.496994469824477,0.316037735849057,0.346883353516711,0.01961689001787,0.0153205439595301,0.00766870224887262,0.0324894108586831,0.0283134146327983,1.42727363026242,0.490742967059389,0.330188679245283,0.349853223619997,0.00760736489835174,0.0324894108586831,0.0290786574412575
"c.hamilton13",-23.768843854697,-30.1515909495604,0.607542406329516,0.578151496867444,1.69384779655621,0.500601106035105,0.316037735849057,0.350481317844168,0.0183848294536673,0.0155473344731742,0.00754449411406785,0.0312860993453985,0.0273269261809147,1.83760495184157,0.494590045684059,0.330188679245283,0.353643877191504,0.00760736489835172,0.0312860993453985,0.0281819815537191
"c.quad",-85.1640100556531,-91.5467571505164,0.662194286543837,0.57740635221638,0.276463155408607,0.516229862947824,0.316037735849057,0.366373121879727,0.0206370186959818,0.0148485226679238,0.00778984351615135,0.0313161821332306,0.0278312181972075,0.399662647337763,0.509737917768694,0.330188679245283,0.368857308712909,0.00772850616563048,0.0324894108586831,0.0294763989763701
"c.poly3",5.50989892820189,-0.87284816666147,0.555106679308773,0.559718183344146,-0.536685557613737,0.585958163019957,0.268867924528302,0.415636929649879,0.0175703098459828,0.0140644490521782,0.00779137694991436,0.030082787832114,0.0254474150375119,-0.137872392940906,0.561433036787689,0.330188679245283,0.424231618698391,0.00803672635199788,0.0312860993453985,0.0299780668264344
"c.hp3k",-24.5546489947285,-30.9373960895919,0.597898624034247,0.557182650038335,-0.0471615550632265,0.570569848521279,0.325471698113208,0.43148177831429,0.0200548139025831,0.0129444536244726,0.0076671688151096,0.0324894108586831,0.0300531735951863,-0.037488034160404,0.56936763645107,0.330188679245283,0.433204069339622,0.00766870224887262,0.0324894108586831,0.0303430349862731
"c.hp3k_r20",-24.5252080854777,-30.9079551803411,0.59781923267112,0.557064923988441,-0.0420142076399799,0.570088963693196,0.325471698113208,0.430933252797477,0.0200603336704846,0.0126028335147839,0.00736201549626823,0.0312860993453985,0.0287700639236417,-0.0394691563753469,0.569608078865112,0.330188679245283,0.433477927410148,0.00748315676354698,0.0312860993453985,0.0291963603487099
