1,Crisis horizon:5-12 quarters,,,,Type II<=1/3,Loss func: Closest to Top Left : min(1*T1^2+1*T2^2),,,,Loss function: min(0.5*T1+0.5*T2)  (alpha=0.5) ,,,,(alpha=0.3),,,,(alpha=0.7),,,
2,Cycles,BIC,AIC,AUC,psAUC,c.Threshold.3,Type I.3,Type II.3,Policy Loss Function.3,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
35,c.ma1,-120.8108179,-127.193565,0.692211027,0.618485598,7.2125,0.405660377,0.326280356,0.271019212,7.2125,0.405660377,0.326280356,0.365970367,18.21875,0.768867925,0.047367156,0.263817386,7.2125,0.405660377,0.326280356,0.381846371
36,c.hamilton13_panelr15,-125.3568461,-131.7395932,0.692265467,0.618103499,9.062343665,0.386792453,0.331329647,0.259387736,9.062343665,0.386792453,0.331329647,0.35906105,34.42482929,0.863207547,0.012743448,0.267882678,9.062343665,0.386792453,0.331329647,0.370153611
37,c.bn7,-160.3838861,-166.7666332,0.653491859,0.617619665,1.105707568,0.485849057,0.333253186,0.347106992,4.506353525,0.650943396,0.115171916,0.383057656,20.29857194,0.820754717,0.006491945,0.250770777,1.105707568,0.485849057,0.333253186,0.440070295
38,c.hp221k1,-106.8842029,-113.26695,0.665637603,0.615789127,5.470154632,0.438679245,0.321231065,0.295628877,5.7435712,0.448113208,0.309208944,0.378661076,16.93243432,0.726415094,0.052656889,0.25478435,5.470154632,0.438679245,0.321231065,0.403444791
39,c.linear20,-91.41475727,-97.79750436,0.652141072,0.610257364,5.421388889,0.452830189,0.324116374,0.310106604,5.421388889,0.452830189,0.324116374,0.388473281,20.20537037,0.731132075,0.059629719,0.261080426,5.227407407,0.448113208,0.330608319,0.412861741
40,c.hamilton28t1,-65.74553576,-72.12828286,0.647841462,0.607330545,8.877741245,0.443396226,0.299110363,0.286067223,9.111571342,0.448113208,0.29382063,0.370966919,35.54599241,0.816037736,0.033181053,0.268038058,7.712342627,0.429245283,0.326280356,0.398355805
41,c.bn3,-132.9768665,-139.3596136,0.641478812,0.606237666,0.611324565,0.490566038,0.325559029,0.346643718,7.539761537,0.764150943,0.023563357,0.39385715,7.539761537,0.764150943,0.023563357,0.245739633,0.611324565,0.490566038,0.325559029,0.441063935
42,c.hp400k20,-88.84497771,-95.22772481,0.654540959,0.603353718,5.784801335,0.45754717,0.332772301,0.320086817,5.784801335,0.45754717,0.332772301,0.395159735,19.37479797,0.768867925,0.044962731,0.262134289,5.784801335,0.45754717,0.332772301,0.420114709
43,c.hp125k1,-92.28970907,-98.67245617,0.656204775,0.602153321,4.970651352,0.45754717,0.330127434,0.318333536,5.708305108,0.485849057,0.289733109,0.387791083,16.5474644,0.768867925,0.043039192,0.260787812,4.970651352,0.45754717,0.330127434,0.419321249
44,c.hp221k20,-87.55365449,-93.93640159,0.653012108,0.601955296,5.495552214,0.45754717,0.331570089,0.319288136,5.797885028,0.471698113,0.316903102,0.394300607,18.34472011,0.773584906,0.043520077,0.262539526,5.495552214,0.45754717,0.331570089,0.419754046
45,c.bn715,-122.8232367,-129.2059838,0.62967445,0.601757271,1.61425749,0.556603774,0.27194037,0.383759326,11.88234836,0.754716981,0.032459726,0.393588354,11.88234836,0.754716981,0.032459726,0.249136902,1.165907755,0.528301887,0.328925222,0.468488887
46,c.stm15,-79.55308991,-85.93583701,0.657504525,0.600873985,5.044852201,0.424528302,0.325078144,0.285900079,5.044852201,0.424528302,0.325078144,0.374803223,20.18109319,0.830188679,0.020197163,0.263194618,5.044852201,0.424528302,0.325078144,0.394693254
47,c.stm1,-89.22277215,-95.60551924,0.65232594,0.599502783,4.689077001,0.462264151,0.333253186,0.324745831,4.689077001,0.462264151,0.333253186,0.397758668,17.31529817,0.801886792,0.02885309,0.260763201,4.689077001,0.462264151,0.333253186,0.423560861
48,c.stm20,-87.21785732,-93.60060442,0.648195321,0.599035282,4.96404881,0.481132075,0.322433277,0.335451292,12.65658647,0.716981132,0.085837942,0.401409537,17.15117572,0.797169811,0.031257514,0.261031203,4.795682343,0.476415094,0.330848762,0.432745195
49,c.hp125k20,-84.29750111,-90.68024821,0.650076896,0.598932526,5.71396987,0.485849057,0.298869921,0.325372535,5.71396987,0.485849057,0.298869921,0.392359489,17.77712986,0.797169811,0.032940611,0.262209371,4.970651352,0.466981132,0.332531859,0.42664635
50,c.hamilton24t1,-43.17917614,-49.56192323,0.630560231,0.584139874,8.20007986,0.476415094,0.314017793,0.325578516,9.152194295,0.5,0.288771339,0.39438567,31.11257373,0.825471698,0.037028132,0.273561202,7.531157414,0.466981132,0.330367877,0.425997156
51,c.hp400k15,-67.12275276,-73.50549986,0.647199526,0.583386563,5.246564212,0.438679245,0.330848762,0.301900383,5.492139971,0.448113208,0.319067083,0.383590145,20.01384818,0.825471698,0.025486896,0.265482337,5.246564212,0.438679245,0.330848762,0.4063301
52,c.linear15,-66.34721142,-72.72995852,0.64737759,0.582767311,5.814262295,0.452830189,0.314979562,0.304267305,5.814262295,0.452830189,0.314979562,0.383904876,20.72382514,0.825471698,0.026208223,0.265987266,5.475901639,0.443396226,0.329886992,0.409343456
53,c.hp221k15,-66.86260916,-73.24535625,0.646127743,0.582672722,5.132475316,0.433962264,0.328203895,0.296041044,5.132475316,0.433962264,0.328203895,0.38108308,19.4443641,0.825471698,0.025727338,0.265650646,5.132475316,0.433962264,0.328203895,0.402234753
54,c.hp125k15,-66.22697004,-72.60971713,0.644218948,0.580826532,4.838741468,0.452830189,0.332291416,0.315472765,4.838741468,0.452830189,0.332291416,0.392560802,16.42663629,0.797169811,0.037268574,0.265238945,4.838741468,0.452830189,0.332291416,0.416668557
55,c.hp25k20,-57.37782927,-63.76057637,0.628900951,0.579189255,3.812798506,0.537735849,0.326520798,0.395775675,12.58919764,0.79245283,0.036547247,0.414500039,13.85316493,0.811320755,0.024525126,0.260563815,3.812798506,0.537735849,0.326520798,0.474371334
56,c.hp25k1,-56.03879587,-62.42154297,0.627367564,0.578796608,4.035401967,0.547169811,0.314017793,0.398001977,12.50975822,0.79245283,0.036547247,0.414500039,13.83218622,0.811320755,0.025727338,0.261405363,4.035401967,0.547169811,0.314017793,0.477224206
57,c.hp25k15,-55.88047615,-62.26322325,0.627503663,0.577575116,3.772455416,0.533018868,0.330608319,0.393410974,12.40009741,0.79245283,0.039192113,0.415822472,13.58094047,0.811320755,0.025967781,0.261573673,3.772455416,0.533018868,0.330608319,0.472295703
58,c.hamilton24t20,-16.7597034,-23.1424505,0.593357438,0.572330522,7.147967638,0.533018868,0.306564078,0.378090647,10.67389914,0.594339623,0.214715076,0.404527349,28.96080238,0.905660377,0.02789132,0.291222037,6.432182221,0.518867925,0.332772301,0.463039237
59,c.hp3k15,-24.56642028,-30.94916738,0.597770464,0.568609562,2.414147098,0.537735849,0.29983169,0.379058886,2.414147098,0.537735849,0.29983169,0.41878377,6.926205976,0.820754717,0.060831931,0.288808767,2.414147098,0.537735849,0.29983169,0.466364601
60,c.hp3k20,-24.52520809,-30.90795518,0.597819233,0.568350293,2.408019429,0.537735849,0.299591248,0.378914759,2.408019429,0.537735849,0.299591248,0.418663548,6.884234099,0.820754717,0.0617937,0.289482005,2.408019429,0.537735849,0.299591248,0.466292469
61,c.hp3k1,-24.55464899,-30.93739609,0.597898624,0.568338044,2.411686193,0.537735849,0.299350805,0.378770748,2.411686193,0.537735849,0.299350805,0.418543327,6.88336554,0.820754717,0.0617937,0.289482005,2.411686193,0.537735849,0.299350805,0.466220336
62,c.hamilton28t20,-11.74680585,-18.12955294,0.58403349,0.56638978,7.681221655,0.528301887,0.309689829,0.375010674,7.681221655,0.528301887,0.309689829,0.418995858,35.33635355,0.933962264,0.016109642,0.291465428,7.681221655,0.528301887,0.309689829,0.46271827
63,c.hp15,-19.08811757,-25.47086467,0.596960672,0.565371756,1.883117108,0.533018868,0.306083193,0.377796035,2.315117694,0.570754717,0.261601346,0.416178032,11.40925486,0.966981132,0.006251503,0.294470392,1.883117108,0.533018868,0.306083193,0.464938165
64,c.hp1,-19.06588997,-25.44863707,0.596869939,0.565310511,1.877563157,0.533018868,0.307285405,0.378533434,2.310778165,0.570754717,0.262082231,0.416418474,11.41475887,0.966981132,0.006251503,0.294470392,1.877563157,0.533018868,0.307285405,0.465298829
65,c.hp20,-19.05868857,-25.44143566,0.596838182,0.565306428,1.877563157,0.533018868,0.307285405,0.378533434,2.310778165,0.570754717,0.262082231,0.416418474,11.41256241,0.966981132,0.006251503,0.294470392,1.877563157,0.533018868,0.307285405,0.465298829
66,c.hamilton20t1,-33.80485773,-40.18760482,0.625777468,0.564276155,7.705502208,0.523584906,0.322914162,0.378414709,7.705502208,0.523584906,0.322914162,0.423249534,25.95064562,0.83490566,0.049050252,0.284806875,7.705502208,0.523584906,0.322914162,0.463383683
67,c.hamilton28t15,0.712723888,-5.670023207,0.532286199,0.55114868,5.186059221,0.599056604,0.333253186,0.4699265,9.371471347,0.688679245,0.188747295,0.43871327,28.15751201,0.952830189,0.011300793,0.293759612,5.186059221,0.599056604,0.333253186,0.519315578
68,c.hamilton24t15,-4.700459607,-11.0832067,0.553558548,0.542164072,4.366093983,0.613207547,0.331810531,0.486121725,12.4813185,0.797169811,0.100024044,0.448596928,27.49663459,0.95754717,0.008415484,0.29315499,4.366093983,0.613207547,0.331810531,0.528788442
69,c.hamilton13t1,-23.76884385,-30.15159095,0.607542406,0.539024257,5.919708934,0.528301887,0.328925222,0.387294686,5.919708934,0.528301887,0.328925222,0.428613555,24.28917014,0.891509434,0.031738399,0.289669709,5.919708934,0.528301887,0.328925222,0.468488887
70,c.hamilton20t20,-15.69702431,-22.0797714,0.585555535,0.537189636,6.444583922,0.523584906,0.32868478,0.382174838,6.444583922,0.523584906,0.32868478,0.426134843,41.07342491,0.971698113,0.004087521,0.294370699,6.444583922,0.523584906,0.32868478,0.465114868
