"BIC","AIC","AUC"
"c.hamilton24t20",-4.05455817023017,-10.0481781650578,0.608106536403822
"c.bn210",-18.646044310007,-24.6396643048347,0.607328739241688
"c.bn3",-38.2637463921491,-44.2573663869767,0.605402419167251
"c.hp25k20",-8.8085648846486,-14.8021848794763,0.603345254710397
"c.hp25k15",-8.25953038956072,-14.2531503843884,0.601909601070017
"c.hp25k1",-8.25022051708459,-14.2438405119123,0.600851942312168
"c.hamilton28t20",-1.36082113837392,-7.35444113320159,0.600757443591538
"c.hamilton13t1",-0.248375049865786,-6.24199504469345,0.599405384973255
"c.stm10",-6.55493442039767,-12.5485544152253,0.5992309257967
"c.hamilton20t20",-1.98508010172714,-7.9787000965548,0.593321121190975
"c.bn510",6.03432597224355,0.0407059774158824,0.592452459874389
"c.bn410",7.90557278297331,1.91195278814564,0.588407187718071
"c.hamilton20t15",-0.778497272478944,-6.77211726730661,0.588359938357755
"c.poly310",4.94652813686491,-1.04709185796276,0.587211415445447
"c.poly520",3.43072363252838,-2.56289636229928,0.585081559665037
"c.hamilton13t20",1.86916309786454,-4.12445689696312,0.580552890207026
"c.hamilton24t15",-1.28085422619074,-7.27447422101841,0.578070481507323
"c.poly415",5.43868299154519,-0.554937003282475,0.576227756454993
"c.hamilton13t15",1.87594697605675,-4.11767301877092,0.574439549895328
"c.hp25k10",-0.0585103002758842,-6.05213029510355,0.573138375203536
"c.hp125k10",-0.0381162822061469,-6.03173627703381,0.572665881600376
"c.hp400k10",-0.0239613106174374,-6.0175813054451,0.572589555710635
"c.hp221k10",-0.0295784793903522,-6.02319847421802,0.572582286578278
"c.linear10",0.288413659947992,-5.70520633487968,0.57119206501512
"c.hp3k10",1.22337593989187,-4.7702440549358,0.570477872761111
"c.hp10",2.01811786138921,-3.97550213343845,0.569365695510588
"c.poly610",6.27415082409527,0.280530829267605,0.56778465922308
"c.hp3k1",1.89752059012073,-4.09609940470693,0.567366684112584
"c.hp3k20",1.91020301793731,-4.08341697689036,0.567232205163991
"c.hp3k15",1.90021114881881,-4.09340884600886,0.567112264480111
"c.quad20",5.4620079274406,-0.531612067387073,0.566810595487322
"c.hp15",2.56778777496379,-3.42583221986388,0.56634537101652
"c.hp1",2.57543647924092,-3.41818351558675,0.566312659920917
"c.hp20",2.57956582532768,-3.41405416949999,0.566272679692957
"c.hamilton28t15",4.38168172477185,-1.61193827005582,0.550778524075362
"c.poly510",7.3453224293213,1.35170243449363,0.546631484066057
"c.hamilton20t10",5.19506179059192,-0.798558204235746,0.54529032914632
"c.poly615",7.7194279773056,1.72580798247793,0.544559781344505
"c.poly315",7.80840455075747,1.8147845559298,0.540129245173284
"c.poly420",7.6588426894541,1.66522269462644,0.539823941614323
"c.poly515",6.90958105364837,0.915961058820699,0.536156664340543
"c.quad10",7.72698722454027,1.7333672297126,0.535953128634568
"c.poly320",6.73891844758714,0.745298452759471,0.531566207257515
"c.bn810",-0.439044639416807,-6.43266463424447,0.527328303093745
"c.hamilton13_panel",7.69592151742563,1.70230152259796,0.527172016748074
"c.linear2",2.89964214773568,-3.09397784709199,0.521309461502674
"c.poly5",7.6222115957487,1.62859160092103,0.52100052337753
"c.hamilton28t10",7.92983134898793,1.93621135416026,0.520051901605028
"c.poly620",7.78541910076626,1.79179910593859,0.520022825075603
"c.poly6",7.65191671985633,1.65829672502866,0.517049749941851
"c.hamilton24t10",7.74866278106924,1.75504278624157,0.500363456617817
"c.poly410",7.76798156963093,1.77436157480327,0.4951369504536
"c.poly3",7.97979194448794,1.98617194966027,0.491193446150272
"c.quad15",7.98863294048363,1.99501294565596,0.49088450802513
"c.bn710",7.98047094909646,1.98685095426879,0.484894742963481
"c.poly4",7.8392477665725,1.84562777174483,0.472071993486848
