"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined.cycle","combined.cycle1","combined.cycle2","combined.cycle3","combined.cycle4","date","ID"
0.545151906386423,0.419444050109291,-21.5449388501761,-24.5766616311848,-26.7782896717856,9.20398450169239,0.180790077066378,-0.31263,-6.42609885585949,-5.652749126453,-5.88776939788203,-6.87109230103069,-7.29278459807226,2005-04-01,"JP"
2.21067332949013,2.18580011509269,-19.2707000180933,-19.8803198880449,-27.6713488098736,8.67294823894883,-0.0417848884763861,0.40355,-4.83314378033013,-4.09268410629548,-4.36897546103963,-5.24394882317194,-5.62696673081345,2005-07-01,"JP"
3.2529159794897,3.36065346695784,-17.3847898134304,-11.8785981206954,-25.6561962134251,10.9145489521109,-1.95561856767595,-0.21538,-4.01875860292954,-3.27319455829246,-3.50250457077022,-4.48888767379435,-4.81044760886113,2005-10-01,"JP"
3.13403011205449,3.36671596620803,-16.6206848401853,-11.1958609844363,-24.0140896358543,12.6770998632011,0.642823755636593,0.00096106,-4.54330016192643,-3.72023573614037,-4.10937508020946,-5.0225557900301,-5.32103404132578,2006-01-01,"JP"
2.56921098046024,2.902891037242,-16.3491632841584,-14.3455832236526,-23.4904787961696,13.2855247889052,0.272725244519276,-0.28185,-3.56273350234849,-2.84969128685521,-3.23485688115479,-4.04613535766325,-4.1202504837207,2006-04-01,"JP"
3.4992393265635,3.95832447049273,-14.3737226843623,-9.70269570334793,-23.4616680032077,13.3936575052854,-0.723956706175398,0.35633,-3.40506878301879,-2.72396777120514,-3.08368904186405,-3.72691554372927,-4.08570277527672,2006-07-01,"JP"
3.684860278061,4.26880623535675,-13.0568846413531,-12.7547079676435,-21.7093782654128,15.1232608925364,-0.977950902141772,-0.27277,-3.86689698361753,-3.17481765158591,-3.35179335428194,-4.23748436357991,-4.70349256502238,2006-10-01,"JP"
3.11133143737212,3.79366335533862,-12.5513424493183,-19.749432805377,-20.6030388151175,16.1464589717399,0.513590630157235,0.021351,-5.4043711223518,-4.63661618116465,-4.92804646867094,-5.79641634288384,-6.25640549668779,2007-01-01,"JP"
0.664614986543143,1.35602251273346,-14.3210735799788,-24.2729883184472,-20.3050936329588,16.3485467341647,-0.0715616857708965,-0.76586,-5.2831807390625,-4.55526694711981,-4.83455729985585,-5.6569989525193,-6.08589975675505,2007-04-01,"JP"
1.73163303740156,2.45874897921502,-12.385412078074,-23.8537310474283,-22.3103052503053,14.360624303233,-0.95666265995446,0.7268,-3.2946111160364,-2.5841423098381,-2.93793495580677,-3.68522762424893,-3.97113957425181,2007-07-01,"JP"
2.94566885561397,3.74170727755089,-10.0695029371788,-12.7779859583565,-20.5877926421405,16.0070742721514,-2.57237687346263,-0.29859,-2.83058254537572,-2.129061775585,-2.46098009070688,-3.19773555355654,-3.53455276165446,2007-10-01,"JP"
2.57126793489988,3.41776548817555,-9.37957799323183,-16.6499119815538,-18.4555399719495,17.9530833159261,0.57724563655103,0.11125,-1.49481701626446,-0.833097543442277,-1.18467593696646,-1.86032481829505,-2.10116976635405,2008-01-01,"JP"
3.17381268412609,4.08462717596828,-7.58226117640692,-9.52565967733514,-17.9415923129719,18.261579308601,0.859910623766563,0.07901,-0.70505372718997,-0.0235046782527688,-0.492585237554443,-1.05180119538949,-1.25232379756318,2008-04-01,"JP"
3.50462503126704,4.48504626959087,-5.96905638430391,-6.79220621083462,-16.2954087346025,19.6251329787234,-0.339636894533415,0.079891,2.29925210988223,2.89719329876711,2.4642917482478,1.9734365774386,1.8620868150754,2008-07-01,"JP"
6.56874999451733,7.71473242010069,-1.03831553597519,2.12238958680149,-14.8097368421053,20.7632487791644,0.615543967410709,0.92282,3.36012852141862,3.96021325334841,3.52697661455569,3.05345885085273,2.89986536691767,2008-10-01,"JP"
6.95284993214605,8.27199589919934,1.35289997904266,-0.93158205603649,-9.92951030927833,25.0611140332422,0.847908378574647,-0.28494,5.24144490382006,5.76158306467629,5.37862157404741,4.96165801601376,4.86391696054277,2009-01-01,"JP"
7.02455547505889,8.51241431200765,3.51469785006685,3.48222883469128,-7.54790658531454,26.7636032107314,3.63512345952387,0.61632,5.73427230298226,6.23866467137634,5.8499269968936,5.47915444015091,5.36934310350822,2009-04-01,"JP"
7.0048051903629,8.65233659569012,5.64576034168905,4.00682837315097,-5.356462585034,28.1935250463822,1.67765337294535,-0.050119,7.01507949764968,7.47833021798238,7.08910642096282,6.77785389847459,6.71502745317891,2009-07-01,"JP"
6.27282755871434,8.04618178747222,6.9892130750014,10.2114871302417,-3.15513131313133,29.5545166516652,1.63273658232732,0.29591,5.1011956295917,5.54441393400882,5.21802317068027,4.89995397970103,4.74239143397668,2009-10-01,"JP"
3.14910531348244,4.93420891855249,5.4141830979045,1.32548551751387,-1.71233663366334,30.1192009318579,1.64834104962993,-0.67151,2.78589088141879,3.20976059578678,2.92932306459488,2.61293330480727,2.39154656048625,2010-01-01,"JP"
0.581473321534588,2.28203609106822,3.91832739408665,-6.96658216313833,-3.20844496214326,27.8517101967193,0.717095535053485,0.068891,1.32159032365398,1.71098932081486,1.43212476374652,1.15995989108793,0.983287318966602,2010-04-01,"JP"
-1.88392363459192,-0.359333129700133,2.02698267206108,-5.05541521830258,-4.64612602322478,25.741434564864,-1.79283025249367,-0.61476,-0.360833858007461,0.0114816392555349,-0.226737887483147,-0.504753832322008,-0.723325351480228,2010-07-01,"JP"
-3.1732037210943,-1.87423064579284,0.99288410406794,-11.3801720818203,-6.50877520537713,23.3205110423557,-1.90626694664604,0.095694,-0.929161151583148,-0.574234970974506,-0.801979588756419,-1.0661025737816,-1.27432747282007,2010-10-01,"JP"
-3.65331408614648,-2.59878245080515,0.581252884068761,-11.0992535404079,-7.52994505494505,21.8103021978022,-2.30071720868189,-0.30732,-1.34034607473536,-0.984831611435104,-1.18642853383173,-1.46819190265258,-1.72193225102203,2011-01-01,"JP"
-3.2359737469526,-2.41075237338859,1.0418448753305,-15.6637236070482,-7.93394429469899,20.9544242637983,-1.53443646447366,0.21169,-0.0651845968192114,0.272334338347715,0.0610889429015923,-0.201924755433503,-0.392236913092648,2011-04-01,"JP"
-2.11050078594832,-1.47210467384178,2.32596477409882,-9.70237095247504,-7.4549991183213,20.976053606066,-0.904508311116557,0.025504,0.448566611568814,0.78075521369525,0.579072711231977,0.32033339615392,0.114105125194111,2011-07-01,"JP"
-1.56329449141438,-1.08538217347669,3.06345856933089,-10.3796777624612,-6.12559709241953,21.8039402859947,-0.0259900351105236,0.050596,0.404459090992316,0.709893680307601,0.531993774658911,0.289364439126076,0.0865844698766786,2011-10-01,"JP"
-2.21011094982802,-1.90427892219535,2.43278562330724,-10.2725424631222,-5.32545022086305,22.0844384209063,0.727462990682855,-0.2963,-0.903984374504506,-0.629202531104065,-0.775747229823183,-1.00138244619913,-1.20960529089164,2012-01-01,"JP"
-4.27668952704235,-4.20092053082888,-0.0569744194132227,-11.7469210284711,-5.90270225187655,21.0322660775872,0.170241711097402,-0.49944,0.244638964949213,0.503252040450093,0.31500653888369,0.128657557040175,0.0316397234228961,2012-04-01,"JP"
-2.55548697220345,-2.64175136373609,1.46490496415646,-1.66705721618939,-8.38653562653562,18.2013592488593,-1.19593455865566,0.61672,0.362038403914263,0.671521717750553,0.449964149190899,0.237108687415497,0.0895590613001028,2012-07-01,"JP"
-0.962470969674314,-1.14495044133631,3.09003792869385,-5.72325494492418,-6.82648005148005,19.3575981480849,-2.52616154147419,-0.19106,1.10619695932786,1.38977894139113,1.22226289886055,0.998597498455321,0.81414849860443,2012-10-01,"JP"
