"AR","AT","BE","CH","CL","DE","DK","ES","FI","FR","UK","HU","ID","IE","IN","IT","JP","KR","MX","MY","NL","NO","PT","SE","TH","US","date"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.1",1947-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.6",1948-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.9",1948-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",1948-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.6",1948-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.2",1949-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.2",1949-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.5",1949-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.9",1949-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.7",1950-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.8",1950-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.1",1950-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.7",1950-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.8",1951-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.1",1951-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.9",1951-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54",1951-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.6",1952-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.8",1952-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.6",1952-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.7",1952-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.6",1953-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.1",1953-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.3",1953-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58",1953-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.4",1954-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.9",1954-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.3",1954-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.5",1954-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.6",1955-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63.8",1955-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.2",1955-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.2",1955-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.3",1956-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.5",1956-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.1",1956-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.9",1956-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.7",1957-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.7",1957-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.8",1957-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.5",1957-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.9",1958-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.1",1958-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72",1958-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.3",1958-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.6",1959-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.2",1959-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.5",1959-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74.6",1959-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74.2",1960-01-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75.7",1960-04-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76.1",1960-07-01
NA,"30",NA,"113.9",NA,"60.9",NA,NA,NA,NA,NA,NA,NA,NA,"23.2","53.6",NA,NA,NA,NA,NA,"115.7","63.6",NA,NA,"77.5",1960-10-01
NA,"30.3",NA,"114.3",NA,"61.4",NA,NA,NA,NA,NA,NA,NA,NA,"23.5","55",NA,NA,NA,NA,"39.7","116.7","62.7","106.4",NA,"77.9",1961-01-01
NA,"31.1",NA,"114.2",NA,"62.4",NA,NA,NA,NA,NA,NA,NA,NA,"23.1","56.2",NA,NA,NA,NA,"39.3","117.1","61.6","105.3",NA,"79.2",1961-04-01
NA,"31.3",NA,"113",NA,"63.5",NA,NA,NA,NA,NA,NA,NA,NA,"22.4","57.2",NA,NA,NA,NA,"40.6","117.3","60.4","104.9",NA,"79.7",1961-07-01
NA,"31.5",NA,"115.4",NA,"64.4",NA,NA,NA,NA,NA,NA,NA,NA,"22.7","57.9",NA,NA,NA,NA,"42.5","117.4","59.3","103.6",NA,"80.5",1961-10-01
NA,"32",NA,"116",NA,"64.8",NA,NA,NA,NA,NA,NA,NA,NA,"23.8","59.3",NA,NA,NA,NA,"44.3","117.3","60.4","103.8",NA,"79.5",1962-01-01
NA,"32.3",NA,"115.3",NA,"65.6",NA,NA,NA,NA,NA,NA,NA,NA,"24","60.6",NA,NA,NA,NA,"44.8","117.3","61.6","104.2",NA,"80.1",1962-04-01
NA,"32.3",NA,"114.7",NA,"66",NA,NA,NA,NA,NA,NA,NA,NA,"23.3","61.8",NA,NA,NA,NA,"45.2","117.5","62.7","104.9",NA,"80.3",1962-07-01
NA,"32.5",NA,"115.3",NA,"67.1",NA,NA,NA,NA,NA,NA,NA,NA,"23.3","62.9",NA,"26.4",NA,NA,"46.4","117.6","63.7","105.9",NA,"81.6",1962-10-01
NA,"33.1",NA,"113.7",NA,"67.9",NA,NA,NA,NA,"55.4",NA,NA,NA,"23.4","64.3",NA,"27",NA,NA,"47.7","117.5","64.6","108.5",NA,"81.6",1963-01-01
NA,"33.6",NA,"114.2",NA,"69.3",NA,NA,NA,NA,"54.7",NA,NA,NA,"23.3","65.4",NA,"27.2",NA,NA,"48","117.4","65.3","110.1",NA,"83.1",1963-04-01
NA,"33.4",NA,"113.5",NA,"69.7",NA,NA,NA,NA,"53.9",NA,NA,NA,"22.5","66.2",NA,"26.4",NA,NA,"48.9","117.1","66","110.6",NA,"83.6",1963-07-01
NA,"33.6",NA,"114.1",NA,"70.8",NA,NA,NA,NA,"52.7",NA,NA,NA,"22.4","66.9",NA,"23.8",NA,NA,"49.8","116.6","66.7","110.1",NA,"84.8",1963-10-01
NA,"33.6",NA,"117.4",NA,"70",NA,NA,NA,NA,"60",NA,NA,NA,"22.2","66.1",NA,"23",NA,NA,"50.4","116.4","68.1","112.1",NA,"84.3",1964-01-01
NA,"34.3",NA,"116.8",NA,"71",NA,NA,NA,NA,"58.7",NA,NA,NA,"21.9","65.9",NA,"22.3",NA,"11","50.9","116","69.5","111.7",NA,"85.2",1964-04-01
NA,"34.8",NA,"114.9",NA,"71.7",NA,NA,NA,NA,"57.5",NA,NA,NA,"21.1","66",NA,"21.3",NA,"11.1","51.1","115.4","70.8","111.5",NA,"85.3",1964-07-01
NA,"35.7",NA,"115.6",NA,"72.4",NA,NA,NA,NA,"56.2",NA,NA,NA,"21","66.4","110.8","19.6",NA,"10.9","50.5","114.6","71.8","110.4",NA,"86.4",1964-10-01
NA,"36.6",NA,"115.2",NA,"72.5",NA,NA,NA,NA,"62.8",NA,NA,NA,"21.4","67.2","111.6","19.6",NA,"13.8","51.2","113.5","72.5","110.8",NA,"86.3",1965-01-01
NA,"37.5",NA,"115.5",NA,"73.4",NA,NA,NA,NA,"61.7",NA,NA,NA,"21.9","67.7","111.5","20.5",NA,"13.2","50.8","112.3","73","112",NA,"87.3",1965-04-01
NA,"37.6",NA,"115.8",NA,"73.6",NA,NA,NA,NA,"60.4",NA,NA,NA,"21.6","68","114","21",NA,"12.7","51.1","111.3","73.5","110.9",NA,"87.3",1965-07-01
NA,"38.9",NA,"117.1",NA,"74.2",NA,NA,NA,NA,"59.4",NA,NA,NA,"22.1","68","117.8","23.6",NA,"12.3","52","110.4","74","110.7",NA,"87.5",1965-10-01
NA,"39.4",NA,"116.4",NA,"74.4",NA,NA,NA,NA,"58.5",NA,NA,NA,"22.5","68.8","118.2","24",NA,"13.1","53.9","111","73.4","112.2",NA,"86.8",1966-01-01
NA,"40.2",NA,"116.8",NA,"75.3",NA,NA,NA,NA,"57.4",NA,NA,NA,"22.6","69.6","116.4","25.1",NA,"12.8","53.5","111.7","73.9","112.9",NA,"87.5",1966-04-01
NA,"40.7",NA,"117",NA,"75.2",NA,NA,NA,NA,"63.5",NA,NA,NA,"21.7","70.1","117.5","25.8",NA,"12.8","53.4","112.4","76","112.4",NA,"86.8",1966-07-01
NA,"41.4",NA,"117.7",NA,"75.5","108.5",NA,NA,NA,"62.4",NA,NA,NA,"21.7","70.8","118.4","26.2",NA,"12.9","53.6","112.9","77.6","112",NA,"86.9",1966-10-01
NA,"42",NA,"116.7",NA,"75.7","109.8",NA,NA,NA,"61.3",NA,NA,NA,"21.6","71.6","117.5","27.3",NA,"13.6","54.5","112.6","76","112.1",NA,"86.5",1967-01-01
NA,"42.4",NA,"117",NA,"77","110.5",NA,NA,NA,"60.4",NA,NA,NA,"21","72.1","117","30.4",NA,"13.7","55.3","112.3","75.8","113",NA,"87.5",1967-04-01
NA,"42.4",NA,"117",NA,"78.1","110.9",NA,NA,NA,"63.4",NA,NA,NA,"20.1","72.8","118","34.3",NA,"13.7","56.3","112","74.9","113.6",NA,"87.7",1967-07-01
NA,"42.4",NA,"119.4",NA,"79.4","111",NA,NA,NA,"62.8",NA,NA,NA,"20.3","73.3","119.2","36.2",NA,"13.8","57.9","111.8","73.8","114.7",NA,"89.9",1967-10-01
NA,"42.2",NA,"121",NA,"79.5","111.9",NA,NA,NA,"61.6",NA,NA,NA,"20.6","74","118.1","35.6",NA,"15.5","58.3","112.2","72","117",NA,"88.3",1968-01-01
NA,"42.8",NA,"123",NA,"80.4","112.6",NA,NA,NA,"64.2",NA,NA,NA,"21","74.8","116.7","36.4",NA,"15.9","58.8","112.8","74","118.5",NA,"88.9",1968-04-01
NA,"42.8",NA,"123.1",NA,"80.4","113.1",NA,NA,NA,"62.6",NA,NA,NA,"20.7","75.3","116.7","40.8",NA,"16","60.1","113.4","74.4","119.8",NA,"88.5",1968-07-01
NA,"43.8",NA,"125.3",NA,"82.3","113.3",NA,NA,NA,"60.7",NA,NA,NA,"21","75.7","116.9","44.4",NA,"16.1","61.7","113.9","77.2","121.1",NA,"89.2",1968-10-01
NA,"44.2",NA,"126.9",NA,"82.3","114.3",NA,NA,NA,"59.5",NA,NA,NA,"21.8","76.2","116.4","48.5",NA,"16.6","61.7","115.7","76.5","122.8",NA,"88.2",1969-01-01
NA,"45.6",NA,"129.9",NA,"82.4","115.1",NA,NA,NA,"61.7",NA,NA,NA,"22.2","76.5","116","53.1",NA,"16","62.7","117.2","79.2","124.9",NA,"89.3",1969-04-01
NA,"46",NA,"131.5",NA,"82.4","115.8",NA,NA,NA,"60.5",NA,NA,NA,"21.3","76.8","116.5","55.3",NA,"16","63.1","118.2","80.5","123.1",NA,"89",1969-07-01
NA,"46.8",NA,"130.4",NA,"84.7","116.6",NA,NA,"95.9","59.4",NA,NA,NA,"21.6","77.8","118.8","54",NA,"18.2","64.2","118.6","85.6","118.9",NA,"89.8",1969-10-01
NA,"47",NA,"129.5",NA,"83.8","116.9","67",NA,"94.5","58",NA,NA,NA,"22.2","78.2","116.4","51.4",NA,"19.4","65.6","117.6","84.2","118.7",NA,"89",1970-01-01
NA,"47.7",NA,"129.5",NA,"83.5","117.5","67.3",NA,"94.1","59.4",NA,NA,NA,"23.1","78.4","115.6","52.1",NA,"19.7","66","116.2","86.4","116.8",NA,"90",1970-04-01
NA,"47.6",NA,"128.3",NA,"82.8","118.1","67.5",NA,"93.8","57.6",NA,NA,NA,"23.1","78.2","116.1","53.7",NA,"20.3","65.5","114.7","88.1","113.5",NA,"90.4",1970-07-01
NA,"48.7","77.7","129.5",NA,"83.7","118.7","69.7","89.3","99.1","58.6","35.4",NA,NA,"23.9","77.6","118.8","55.1",NA,"20.7","66.2","113.4","86.6","111.9","37","91.2",1970-10-01
NA,"48.6","77.3","128",NA,"82.3","118.8","69.9","85.4","98.7","56.9","36.3",NA,NA,"25","78.2","120","56",NA,"21.7","65.3","113.2","85.5","110.6","37.7","90.7",1971-01-01
NA,"50.2","78.1","127.5",NA,"82.8","118.7","70.5","82.6","99.7","55.3","37.4",NA,"79.9","24.5","79.4","122.3","56.2",NA,"21.7","65.2","113.3","87.5","111.4","37.7","91.6",1971-04-01
NA,"50.3","77.7","124.7",NA,"83.6","118.5","70.2","81.3","99.9","56.2","38.4",NA,"80","24.4","80.7","126.2","58.3",NA,"22.5","65.7","113.4","89.5","110.5","38.6","91.9",1971-07-01
NA,"52.3","78.7","124.8",NA,"85.5","118","71.7","81.1","103.2","57.2","39.4",NA,"79","25.5","81.9","131.9","58.5",NA,"22.3","66.9","113.6","95.6","111.1","39.2","92.3",1971-10-01
NA,"52.4","77.7","122.5",NA,"85.3","119.4","71.1","80.9","103.5","60.6","39.2",NA,"76.3","25.9","82.8","132.7","59.1",NA,"22.9","66.7","114.2","98.3","112.2","38.9","92.2",1972-01-01
NA,"53.5","78.6","122.6",NA,"86.7","120.4","72.2","81.5","106.2","61.3","39.3",NA,"73.4","26.4","83.8","133.3","59.6",NA,"22.7","68.5","114.8","100.5","113.5","38","93.4",1972-04-01
NA,"54","78.6","121.4",NA,"86.9","121.1","72.9","82.3","106.6","64.8","39.4",NA,"75.6","25.4","84.9","136.4","60.3",NA,"23.9","69","115.1","102.3","113.5","39.4","93.5",1972-07-01
NA,"55.4","80.6","122.3",NA,"89","121.4","74.9","83","109.8","65.1","39.2",NA,"73.4","26.3","85.8","140.8","58",NA,"24","69.8","115.3","105.5","112.3","40","94.3",1972-10-01
NA,"54.2","80.7","119.4",NA,"89.2","123.2","75.1","83.2","108.3","64.3","39.3",NA,"75","27.5","86.8","140.4","58.1",NA,"25.3","71.3","115.4","108.3","112.7","41.1","94.3",1973-01-01
NA,"54.2","81.5","118",NA,"89.5","124.8","76.5","83.9","109.9","66.4","39.4",NA,"72","26.9","86.3","139.2","59",NA,"25.7","73.1","115.3","106.6","112.9","41.4","95.2",1973-04-01
NA,"53.7","82","117.9",NA,"89.5","126.3","77.4","84","109.6","66","39.5",NA,"74.1","25.6","84.7","139.1","59.1",NA,"26.8","76.4","114.9","108","112.8","42.8","95.7",1973-07-01
NA,"54.2","82.3","119.1",NA,"90.1","127.8","78.6","83","110.8","64","39.8",NA,"75.7","27","83.1","139.3","59.3",NA,"29.2","78.1","114.2","115","112.7","44.5","95.7",1973-10-01
NA,"53.5","81.7","117.8",NA,"89.8","128.8","77.2","82.3","108.3","65.1","40.7",NA,"78","27","81.8","137.5","58.9",NA,"29.4","78.8","113.6","112.7","113.8","43.8","95.6",1974-01-01
NA,"53.4","80.8","116.5",NA,"90.3","129.8","77.3","80.7","107.3","65","42",NA,"79.1","26.9","80.5","135","59.4",NA,"29.9","80.6","112.8","109.6","115.3","44","97.2",1974-04-01
NA,"53.2","79.8","116.1",NA,"90.3","131","78.1","80.4","106.3","64.2","43.4",NA,"81.2","25.7","79.1","132.7","61.6",NA,"29.9","82","111.9","108.9","113.5","45.9","97.6",1974-07-01
NA,"54.5","79.3","112.9",NA,"90.9","132.1","80.1","79.9","108.7","61.4","44.6",NA,"84.4","26.1","77.9","133.1","61.4",NA,"28.1","83","111","112.5","111.3","46","97.8",1974-10-01
NA,"54.7","78.5","114.3",NA,"90.2","132.9","80.6","80.5","107","59.6","44.8",NA,"83.3","27.6","77.7","132","57.5",NA,"28.9","82.9","114.3","111.3","109.7","45.4","96.4",1975-01-01
NA,"56.3","79.4","117.3",NA,"90.8","133.6","81.5","80.5","106.3","59.4","45.1",NA,"80.1","27.7","78","132.1","56.2",NA,"28.7","83.2","116","112.7","108.8","46.6","96.3",1975-04-01
NA,"56.7","79.8","118.9",NA,"91","133.9","81.8","81.2","105.9","56.6","45.3",NA,"80.1","28","78.6","134.1","55.8",NA,"29.4","83.6","116","112.4","105.9","48.5","95.7",1975-07-01
NA,"58.1","82.5","124.9",NA,"92.9","133.6","83.4","82.4","109.5","58","45.5",NA,"79.3","29.8","78.8","137.4","54.5",NA,"31.4","84.5","118","114.6","105.2","50.5","95.4",1975-10-01
NA,"58.2","82.8","125",NA,"91.6","132.6","82.8","82.9","108.1","57.8","46.4","26.2","75.9","31.9","78.3","137.1","53.8",NA,"33","84.7","119.5","111.4","104.6","51.8","93.8",1976-01-01
NA,"59.5","83.2","127.2",NA,"91.9","131.2","84.1","83.7","107.2","57.3","47.4","26.4","74.4","32.3","74.4","136.5","51.7",NA,"33.8","87.3","121.3","110","106.8","50.4","93.8",1976-04-01
NA,"60.6","83.1","127.4",NA,"91.7","129.9","84.1","83.2","106.3","57.5","48.5","26.3","73.7","33","72.9","136.8","52.3",NA,"34.7","88.5","122.3","108","106.7","50.4","93.8",1976-07-01
