"ID","date","c.hamilton13_panelr20","c.hamilton20_panelr20","c.hamilton24_panelr20","c.hamilton28_panelr20"
"JP",2009-10-01,10.9826195543008,4.86960973958656,-1.44634630449365,-12.0361644092777
"JP",2010-01-01,9.98025207138597,3.14796322098657,0.501699176611146,-8.75414099256563
"JP",2010-04-01,10.0734903094163,5.74060130853471,1.44559762994858,-6.90733678047153
"JP",2010-07-01,13.0788503299123,2.5597655510612,2.09266273104492,-7.75473154751572
"JP",2010-10-01,9.30987018243865,1.74184747907959,-0.747418019182469,-10.4875898213213
"JP",2011-01-01,6.68490096607518,2.63780987906945,-2.00673223767678,-5.12232178414992
"JP",2011-04-01,8.21706469343595,5.40804664341639,1.99969808111683,-3.01198260842664
"JP",2011-07-01,7.97176463501845,5.67778700941756,2.26986605080245,-0.628423108885975
"JP",2011-10-01,7.55407753962742,6.80779557466722,3.2618320800072,-1.30181010376023
"JP",2012-01-01,0.481188829069892,7.52096910781467,3.43938517760791,-1.2873368523636
"JP",2012-04-01,-3.20981659650634,9.77726987694122,3.43584933608725,1.24602630938898
"JP",2012-07-01,-3.38555054118404,8.52938518846001,4.11651001430356,-0.256146079613231
"JP",2012-10-01,-4.02637642229945,8.03264039659395,5.88699176396182,2.04337638510613
"JP",2013-01-01,-4.62258424072874,9.42894136940958,7.424223214921,4.76828146620651
"JP",2013-04-01,-2.36884646308412,6.89558971812471,11.3430139286068,5.71427126867876
"JP",2013-07-01,-0.804497999519893,5.87376411415306,9.0544979207076,3.96601201580984
"JP",2013-10-01,1.68422225034279,-0.136387265227768,7.17215054517452,5.16340079229323
"JP",2014-01-01,1.60487169579048,-1.82740601894961,6.45273422613485,5.89197801116026
"JP",2014-04-01,0.327746053053929,-4.79741537954974,3.72593388964317,9.21348935061584
"JP",2014-07-01,0.0315320176514741,-6.02506699581879,3.48569706032665,5.77029722350779
"JP",2014-10-01,-0.748686270989481,-5.98034958620856,-1.81243682863063,5.15916228134716
"JP",2015-01-01,-1.92307359057738,-3.49708162137595,-4.00322134654045,5.68934297460662
"JP",2015-04-01,-2.44182800441332,-3.956421503811,-7.9993978076308,1.70673422550311
"JP",2015-07-01,1.18400158395753,-2.00529559933494,-9.42531160894762,0.696628953131982
"JP",2015-10-01,-1.7957499351606,-0.778473353520961,-9.54288456444472,-5.33173344357727
"JP",2016-01-01,-3.72865945194526,-0.789750282977184,-6.26688119560199,-4.87397554894891
"JP",2016-04-01,-2.92022085321373,-1.19769771477484,-3.41730225034545,-5.91733070478503
"JP",2016-07-01,0.616499587529065,-1.47097845508303,0.848678872646595,-6.23508511960242
"JP",2016-10-01,1.80064839879144,-0.0957861244430682,3.11359805359332,-4.82966231321087
"JP",2017-01-01,1.99575444590245,2.06271381974671,3.80356277736037,-0.0616377229188605
"JP",2017-04-01,2.72479864698203,5.19158756850007,1.97765462567374,0.459453658610815
"JP",2017-07-01,4.6227458638064,2.14830785858406,0.225141008921268,2.66259568583998
"JP",2017-10-01,3.67853013163373,1.15617446188925,0.254500552579827,3.27078123783921
"JP",2018-01-01,1.98634880033941,0.533005855711443,0.957153752933326,2.50034264096741
"JP",2018-04-01,3.76893833268046,3.36575174881412,5.48234794720723,2.09812345128355
"JP",2018-07-01,7.75734179451847,4.46716730440254,4.62377287301694,1.93500209043927
"JP",2018-10-01,10.0739576400529,6.13856515658689,4.94975919954819,4.28993279599584
"JP",2019-01-01,9.99574083620883,8.00125012175766,4.56695306078482,7.02548281619813
"JP",2019-04-01,10.6257094372757,10.3484752284121,7.43976539391894,11.3787123163382
"JP",2019-07-01,11.1733233420752,10.1368146680839,8.92260340092052,7.49896009931003
"JP",2019-10-01,11.6759718346386,10.8051446977122,10.6322630158875,8.31655472292195
"JP",2020-01-01,11.5246940221622,13.0152517180045,12.736842780659,10.7796195227983
"JP",2020-04-01,22.6546485773485,26.98277485304,25.9169186034726,24.7962806794104
"JP",2020-07-01,26.6038282324732,30.5419575675163,27.8556507443215,26.4581745771117
"JP",2020-10-01,28.5045656933584,31.5146132424173,28.6466666361172,28.0389569978712
"JP",2021-01-01,28.3944153330822,31.882744038235,29.4204922617581,30.5788210799033
"JP",2021-04-01,27.7144047582798,29.698971565528,30.5463944685635,30.7024312626656
"JP",2021-07-01,26.4167023511134,28.199701109683,31.4548809806622,27.6064429641655
"KR",1977-10-01,-13.5065974365481,-15.3451327428574,-16.6659593158506,-15.8840302755041
"KR",1978-01-01,-10.5075993584112,-13.5830919884896,-14.5179017526552,-14.0662748646393
"KR",1978-04-01,-5.06143241810755,-12.1215791646408,-12.9822790211276,-12.1261245039874
"KR",1978-07-01,-5.4952238055036,-10.5663971796802,-12.7889287413818,-12.6377090752867
"KR",1978-10-01,-5.7912909881133,-9.68802979091736,-10.9741055013856,-12.2882983922685
"KR",1979-01-01,-2.96826014606214,-8.83683580564093,-10.5460096758313,-11.6929943500594
"KR",1979-04-01,-1.73765547404621,-8.55308146989416,-10.4694053503093,-11.1312653400375
"KR",1979-07-01,3.00544256531865,-6.8295218553447,-6.19871210281449,-8.09906107940838
"KR",1979-10-01,3.93208470580946,-4.05354643562252,-3.94304669473803,-5.34278491327538
"KR",1980-01-01,11.0092315182531,5.03371779314654,2.75378503540539,1.95810947857563
"KR",1980-04-01,13.995211291841,6.42222900287178,4.44513152268874,3.85703307205934
"KR",1980-07-01,15.8990855827768,9.08118772903244,5.984557733125,6.75109503900083
"KR",1980-10-01,16.5295916537172,13.2645885163593,8.73414719658062,8.87340495194034
"KR",1981-01-01,18.2131272543777,14.0123566674313,11.3298914343033,9.16522711508721
"KR",1981-04-01,17.5343681176419,16.8260533165762,12.0461857131306,10.187838741326
"KR",1981-07-01,15.6642362824147,16.2831776160904,11.8715711051744,9.4074239350299
"KR",1981-10-01,18.8916972271442,19.1224397194532,15.9529654008942,10.9789697826052
"KR",1982-01-01,19.2144365718042,20.5844710201295,17.1893503264942,13.1027847423272
"KR",1982-04-01,17.7892166872714,19.0782538883165,17.857913698674,13.9191893807191
"KR",1982-07-01,20.0312571594104,20.4224264847455,19.5851227249952,16.8975835777843
"KR",1982-10-01,22.037940227446,27.3198658531011,25.8085024757803,23.2701030935647
"KR",1983-01-01,20.9278037890499,26.0786907343715,27.6232837819336,24.4793212407616
"KR",1983-04-01,14.5260207836561,25.0506328261424,27.4859005240349,26.5294744239075
"KR",1983-07-01,11.4029327156448,23.9880410681607,24.3453139024937,24.4037649275866
"KR",1983-10-01,10.2439093704322,23.7956487158631,26.0150991386992,25.3238614552302
"KR",1984-01-01,7.87010230454083,23.0003071290736,24.172744271651,25.5474466875609
"KR",1984-04-01,9.24139602926566,23.5248360497526,22.9222404088442,25.9418754254546
"KR",1984-07-01,7.82762474702521,20.5615652582595,24.1307159118455,24.9229666689986
"KR",1984-10-01,8.08387507784128,20.1333859746197,24.4225413813381,26.2753755447879
"KR",1985-01-01,8.25971967835125,15.8753577002998,25.6299051256882,27.0778734005875
"KR",1985-04-01,10.4325830727076,17.4915514337491,28.0482146365924,28.129640813307
"KR",1985-07-01,13.8623144011023,17.36294236618,27.1489765183257,29.9950523091706
"KR",1985-10-01,8.52907399596103,12.7616280170469,23.7442797417781,27.6016071120331
"KR",1986-01-01,0.576689570793855,10.9508577758391,15.9088554416865,25.3100474013504
"KR",1986-04-01,2.80244551218184,10.2113067216804,15.6258453819143,25.8238647282779
"KR",1986-07-01,0.985943489392611,7.59141900731234,11.8569260273567,21.351713427849
"KR",1986-10-01,1.53181619455862,4.8383966763471,7.90073079384,18.6032233289303
"KR",1987-01-01,-1.11373629810887,2.57882383677769,6.07215612202994,10.9828919446738
"KR",1987-04-01,-2.79636534376741,2.57428204078091,3.29644297760816,7.8043854854085
"KR",1987-07-01,-3.92986399784414,-1.30240786075655,1.59992256844882,4.32477912574707
