"ID","date","c.hamilton13_panel","c.hamilton20_panel","c.hamilton24_panel","c.hamilton28_panel"
"CA",2021-07-01,13.1129466988509,12.7688944731731,16.4143032485337,29.5419452259626
"CH",1975-10-01,1.54842531249725,-5.24581395497559,-4.83764916291472,-3.6974815347279
"CH",1976-01-01,1.87460418953277,-4.12439101480914,-5.51232745046228,-4.46025816375312
"CH",1976-04-01,5.814839511782,-1.24609434938469,-3.83273462415072,-3.2363614557962
"CH",1976-07-01,7.53640963699526,-0.271876210522003,-2.40145927791412,-4.2958305932693
"CH",1976-10-01,10.6787427877416,4.66626416188604,2.11865620964933,0.702961051483445
"CH",1977-01-01,9.29352725038284,4.70353370294646,1.69696429316103,0.32675492552299
"CH",1977-04-01,13.1796561072068,7.58337105737368,4.44971349619814,2.74245676128668
"CH",1977-07-01,14.7227153668932,8.40809259472749,5.84853033728739,3.86513156304154
"CH",1977-10-01,19.8584368773565,14.7469552714527,11.9205273038847,9.46814971285347
"CH",1978-01-01,19.4909560547428,13.4545924817619,10.2586081823927,7.34672483623767
"CH",1978-04-01,19.6227756072997,15.7726764487238,12.4245996862463,9.41139457166743
"CH",1978-07-01,16.5803566794915,15.0609970195998,12.9004379073775,10.7410960520928
"CH",1978-10-01,23.2537174973776,21.0810763823265,18.734908175916,16.8915016305676
"CH",1979-01-01,15.7312901543763,20.3728103571627,17.6735653249761,15.3208671265562
"CH",1979-04-01,18.0364100065294,22.7871814547842,20.1803347176572,17.6166001162362
"CH",1979-07-01,16.340926678515,21.5379403249649,18.6358538303388,17.1727190647525
"CH",1979-10-01,17.9074956465758,26.7574073436415,21.9565235244634,20.3353301584185
"CH",1980-01-01,13.0948484052339,25.0696272631805,23.207493691608,20.7469078629505
"CH",1980-04-01,16.0665041522311,24.2513528361477,25.1903177697319,23.2264570405217
"CH",1980-07-01,14.0820655429036,24.456465113875,24.0874444389527,22.9640452281818
"CH",1980-10-01,15.9081845678009,23.1126176173949,29.4117666300064,25.7358816668772
"CH",1981-01-01,8.61294576789908,22.7916030018513,27.2279841972851,25.1174097173548
"CH",1981-04-01,15.0174372978529,23.5999359720429,27.520839558217,28.3422998737622
"CH",1981-07-01,12.5779357631183,20.8088677569755,26.6496588895308,26.9601245256815
"CH",1981-10-01,6.95742490167525,12.9145725720765,18.7910449222653,24.8445343900778
"CH",1982-01-01,-5.12509818563209,8.76075814542506,13.2450489809503,19.1118006958011
"CH",1982-04-01,-2.20412393365859,6.2183590798699,11.4821527280446,16.8240018531196
"CH",1982-07-01,0.634102398416016,8.80802749199858,13.4869475597138,18.9897300994282
"CH",1982-10-01,1.9614427764827,5.32133780943113,11.3959605091078,17.2557508222846
"CH",1983-01-01,-1.84114228137705,8.28661113175903,12.0620209730036,15.636413936889
"CH",1983-04-01,0.48133604248702,8.84393019803107,12.9672191062188,16.5637152560288
"CH",1983-07-01,0.586517043120585,7.52026788378138,11.8762177821746,16.5152503313898
"CH",1983-10-01,2.36115475899049,3.92203247686685,8.6099649349936,14.5853639219219
"CH",1984-01-01,-3.9582206708012,4.71151488373223,9.20510791897538,12.7081348668531
"CH",1984-04-01,-0.965583845722799,4.60125771095967,9.68978788337189,12.6890340236073
"CH",1984-07-01,-3.96164170990589,3.0692991474093,6.11584669657665,10.9726921847214
"CH",1984-10-01,-2.43382377926931,0.425489756186543,1.65021108344177,6.40982301861616
"CH",1985-01-01,2.59365401164312,1.08578956935672,4.82699815072907,8.25849958906764
"CH",1985-04-01,6.15202623359814,-1.09237183734877,2.30341913076515,5.42437839799803
"CH",1985-07-01,4.25133781373989,-2.06556749657215,0.1784403449368,4.22297952233147
"CH",1985-10-01,0.900269850280608,-3.61521744952712,-0.164505898405938,1.27695494024185
"CH",1986-01-01,0.103156302977304,-2.86871767286999,-0.843796144684392,2.21382035020386
"CH",1986-04-01,4.52009111607475,-3.0324149203798,0.827164856172204,2.76670614885513
"CH",1986-07-01,2.21673493859418,-0.805349562856444,1.30059553756544,4.08800079386843
"CH",1986-10-01,2.81035615324781,4.02075830497103,-0.56421265193285,2.65976743814629
"CH",1987-01-01,2.80483142538427,9.3909787322127,1.62494108390413,3.5685660082649
"CH",1987-04-01,9.11386820655104,11.7208548740111,3.06107428918477,5.61853171240602
"CH",1987-07-01,7.61102464838756,8.50671462029382,4.33170131033636,6.40305386222861
"CH",1987-10-01,9.0317962834652,10.0764248102547,8.72652275979722,4.6888800862715
"CH",1988-01-01,12.808265512968,15.0858664156328,15.2628779055575,8.17985367964321
"CH",1988-04-01,14.8087350395998,15.0042169326044,17.5594563181035,9.66339961162567
"CH",1988-07-01,18.9506133638455,16.3109403722472,16.1388328262591,12.0646490461125
"CH",1988-10-01,21.5983969308333,16.8640261646817,19.3105666685717,16.4201411751422
"CH",1989-01-01,22.0837505944329,23.497338073111,25.3055286498554,25.192104200678
"CH",1989-04-01,26.8891705853709,24.9034509631274,25.6751121410589,30.6762867088761
"CH",1989-07-01,23.9297063191492,25.0556047571725,24.4213722836683,27.7620425843051
"CH",1989-10-01,23.6629394404998,26.5452793587715,24.7226208356361,26.7596452971897
"CH",1990-01-01,22.9166419098155,25.6610996213706,26.7213819657303,26.9506370793864
"CH",1990-04-01,22.3707224099861,28.4744869943094,25.4994497278304,26.119087873409
"CH",1990-07-01,16.3155385770966,27.7054672197435,24.3049423910523,24.0033106876076
"CH",1990-10-01,14.9304366843503,22.8955723859274,23.3673900283377,21.0310956292322
"CH",1991-01-01,13.7277182778292,23.2986748400035,21.0243392578463,21.4074752922481
"CH",1991-04-01,9.59648408058404,21.402133887691,23.8351904012758,21.2366714181093
"CH",1991-07-01,3.98755234332822,18.8285359438401,22.7957236577155,20.2517948242929
"CH",1991-10-01,1.90900269187363,16.5849415701472,18.5653289100963,18.9429388587624
"CH",1992-01-01,0.337568058419264,14.775614074789,19.5326868439961,17.9630116361406
"CH",1992-04-01,-5.05247647770699,10.350584863414,17.0735064396209,19.1434930490741
"CH",1992-07-01,-10.018214156903,10.1872794276424,15.4032990629771,19.3225714461306
