"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"c.bn2_r20",-84.0799833035255,-90.1480729298039,0.695545002261415,0.629659656264134,0.281569430448832,0.420563847429519,0.329545454545455,0.28547415637629,0.0201179500501903,0.017168613968654,0.00913798355162962,0.0348228780148422,0.0302468852770465,0.281569430448832,0.420563847429519,0.329545454545455,0.28547415637629,0.00499204656987173,0,0.00917774929910418
"c.stm_r20",-87.6992436696232,-93.7673332959016,0.687875018845166,0.628239484396201,3.11829873661992,0.407296849087894,0.329545454545455,0.274490929888497,0.0199771678008225,0.0179234566961112,0.00879953971638407,0.0333371985157699,0.0293180356288923,3.11829873661992,0.407296849087894,0.329545454545455,0.274490929888497,0.00448438081700342,0,0.00838125568949063
"c.bn4",-119.059951783252,-125.128041409531,0.703757726518911,0.627172094075079,1.82137668359756,0.362852404643449,0.329545454545455,0.240262074167104,0.0208340224038841,0.0219753000419979,0.00888415067519544,0.0362360853432282,0.0301272051039486,1.82137668359756,0.362852404643449,0.329545454545455,0.240262074167104,0.00397671506413511,0,0.00754586629582656
"c.hp25k_r15",-54.6350756319105,-60.7031652581888,0.656090758329569,0.613796924468566,2.03223752961375,0.431840796019901,0.329545454545455,0.295086679718672,0.0203062349847305,0.0197568583912534,0.00939181642806377,0.0347866419294991,0.0306406806387459,2.03223752961375,0.431840796019901,0.329545454545455,0.295086679718672,0.00414593698175788,0,0.0078587163684067
"c.hp25k",-55.5894943165674,-61.6575839428458,0.656916176692297,0.611740162822252,2.10740617629168,0.428192371475954,0.329545454545455,0.291948913601771,0.0204540338043351,0.0191162476693527,0.00922259451044099,0.0347866419294991,0.0304150514152489,2.10740617629168,0.428192371475954,0.329545454545455,0.291948913601771,0.00406132602294649,0,0.00770506960240595
"c.poly4_r20",2.38638497539841,-3.68170465087996,0.590053520277405,0.611318407960199,0.717426004832376,0.449419568822554,0.329545454545455,0.31057815545222,0.017034364458168,0.0176176529804595,0.00913798355162962,0.0347866419294991,0.0307458339596966,0.717426004832376,0.449419568822554,0.329545454545455,0.31057815545222,0.00363827122888957,0,0.00696158763497973
"c.quad",-88.1553453378519,-94.2234349641303,0.699798356701342,0.609859791949344,2.17750193843267,0.413930348258706,0.329545454545455,0.279938539821144,0.0216230391737629,0.0214527937192516,0.00930932074322266,0.0362360853432282,0.0309904834594442,2.17750193843267,0.413930348258706,0.329545454545455,0.279938539821144,0.00423266321453955,0,0.00792066058806388
"c.bn2_r15",-62.5254691277298,-68.5935587540082,0.668343886627467,0.607035278154681,0.116804930243084,0.496185737976783,0.329545454545455,0.354800493183135,0.0207786497980157,0.0145257305771698,0.00880165499035435,0.0347866419294991,0.0312610024630525,0.116804930243084,0.496185737976783,0.329545454545455,0.354800493183135,0.00592276711679697,0,0.0104272132192233
"c.hamilton13",-29.9493376627872,-36.0174272890656,0.633374792703146,0.602762324739937,3.31999042440825,0.439800995024876,0.329545454545455,0.302025121836441,0.0197612923783086,0.0190465878515585,0.00930932074322266,0.0362360853432282,0.0318715827794019,3.31999042440825,0.439800995024876,0.329545454545455,0.302025121836441,0.00423266321453954,0,0.00796551418332236
"c.bn3_r15",-93.9599915302624,-100.028081156541,0.653431705110811,0.583600180913614,0.1576998144574,0.48955223880597,0.329545454545455,0.348261601131508,0.0222185454785527,0.0165753805762468,0.0091379835516296,0.0347866419294991,0.0314732356354482,0.1576998144574,0.48955223880597,0.329545454545455,0.348261601131508,0.00490743561106034,0,0.00901080051171811
"c.hp3k",-20.494348285692,-26.5624379119704,0.609185134931407,0.572509045680688,0.190198814624893,0.540630182421227,0.329545454545455,0.40088120075638,0.0212014860731378,0.0158088052894156,0.00930720546925238,0.0334096706864562,0.031893694932157,0.190198814624893,0.540630182421227,0.329545454545455,0.40088120075638,0.00499204656987173,0,0.00917774929910418
"c.hp3k_r20",-20.4681772784236,-26.536266904702,0.609085255540482,0.572371099050204,0.187269344172421,0.540961857379768,0.329545454545455,0.401239937751339,0.0212072872305211,0.0151044262684721,0.00905548786678851,0.0347866419294991,0.0319373795924583,0.187269344172421,0.540961857379768,0.329545454545455,0.401239937751339,0.00490743561106034,0,0.00902382189974082
"c.poly3",-2.32481097294635,-8.39290059922473,0.590494497210918,0.572338308457711,0.206571623749085,0.535986733001658,0.329545454545455,0.395881984565361,0.0199483189073028,0.0163250451130248,0.00871492875757268,0.0362360853432282,0.0330104883975471,0.206571623749085,0.535986733001658,0.329545454545455,0.395881984565361,0.00355366027007818,0,0.00684094335241582
