"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","c.Threshold.2","Type I.2","Type II.2","Policy Loss Function.2","c.Threshold.3","Type I.3","Type II.3","Policy Loss Function.3"
"c.hp3k_r20",3.37026891075664,-1.70300080670307,0.527559246309244,0.52347027972028,-1.11246042767974,0.702797202797203,0.333333333333333,0.605035019370684,-3.40597154139845,0.844405594405594,0.0277777777777778,0.436091686091686,-4.80770367668836,0.892482517482518,0,0.267744755244755,-2.5294151742443,0.799825174825175,0.0833333333333333,0.584877622377622
"c.hamilton13_panel",-1.62944325604701,-6.70271297350672,0.516632672882672,0.522246503496503,-2.93980015844951,0.75,0.277777777777778,0.63966049382716,-7.50099240362657,0.833916083916084,0.0277777777777778,0.430846930846931,-10.7095579666684,0.881993006993007,0,0.264597902097902,-5.79021492978685,0.808566433566434,0.0555555555555556,0.58266317016317
"c.hp400k",-0.70150104517603,-5.77477076263574,0.492764180264181,0.521722027972028,-5.39688876357712,0.791958041958042,0.138888888888889,0.646487663678806,-6.29677075333653,0.805944055944056,0.0277777777777778,0.416860916860917,-9.98732162856417,0.856643356643357,0,0.256993006993007,-6.29677075333653,0.805944055944056,0.0277777777777778,0.572494172494172
"c.hamilton28_panelr20",-4.98730435808744,-10.0605740755472,0.511290792540795,0.520541958041958,-1.41629915508753,0.694055944055944,0.333333333333333,0.592824764590499,-7.56399544187165,0.827797202797203,0.0277777777777778,0.42778749028749,-11.1754374059995,0.868881118881119,0,0.260664335664336,-1.41629915508753,0.694055944055944,0.333333333333333,0.585839160839161
"c.hamilton28_panelr15",-3.23097482225194,-8.30424453971165,0.498154623154624,0.516215034965035,-1.77664227647245,0.723776223776224,0.333333333333333,0.634963133214882,-7.00542529427995,0.833041958041958,0.0277777777777778,0.430409867909868,-9.69021316865722,0.873251748251748,0,0.261975524475524,-7.00542529427995,0.833041958041958,0.0277777777777778,0.591462703962704
"c.hp400k_r15",5.06033874589883,-0.012930971560877,0.477734071484074,0.514685314685315,-5.73577149292502,0.812062937062937,0.111111111111111,0.67179189276363,-8.72914601522956,0.850524475524476,0,0.425262237762238,-8.72914601522956,0.850524475524476,0,0.255157342657343,-7.17464723786663,0.833041958041958,0.0277777777777778,0.591462703962704
"c.stm_r15",4.75668539316013,-0.316584324299583,0.478025446775448,0.512893356643357,-5.64724878022827,0.819055944055944,0.0833333333333333,0.677797083937818,-8.49366112804363,0.856643356643357,0,0.428321678321678,-8.49366112804363,0.856643356643357,0,0.256993006993007,-6.72133027628493,0.835664335664336,0.0277777777777778,0.593298368298368
"c.hp221k",1.59020806590155,-3.48306165155816,0.478705322455325,0.512325174825175,-5.64162342572462,0.812062937062937,0.111111111111111,0.67179189276363,-6.51468739777413,0.825174825174825,0.0277777777777778,0.426476301476302,-9.5109475512609,0.861013986013986,0,0.258304195804196,-6.51468739777413,0.825174825174825,0.0277777777777778,0.585955710955711
"c.stm_r20",3.13968449266252,-1.93358522479718,0.476762820512823,0.509527972027972,-5.37271583926022,0.822552447552447,0.0833333333333333,0.683536973418966,-5.96900967292754,0.833916083916084,0.0277777777777778,0.430846930846931,-8.93932352227624,0.865384615384615,0,0.259615384615385,-5.96900967292754,0.833916083916084,0.0277777777777778,0.592074592074592
"c.hp125k",3.07744713146087,-1.99582258599884,0.473994755244758,0.509353146853147,-5.8918196356821,0.822552447552447,0.0833333333333333,0.683536973418966,-6.38409750232368,0.831293706293706,0.0277777777777778,0.429535742035742,-8.88840641928793,0.861013986013986,0,0.258304195804196,-6.38409750232368,0.831293706293706,0.0277777777777778,0.590238927738928
"c.stm",3.19320831841139,-1.88006139904832,0.475670163170166,0.508697552447552,-5.52211418153102,0.826048951048951,0.0833333333333333,0.689301313973517,-6.02769206256343,0.833041958041958,0.0277777777777778,0.430409867909868,-8.64557795282752,0.867132867132867,0,0.26013986013986,-6.02769206256343,0.833041958041958,0.0277777777777778,0.591462703962704
"c.hp400k_r20",4.1477617327696,-0.925507984690114,0.459644522144524,0.508129370629371,-6.29026182005722,0.818181818181818,0.138888888888889,0.688711611060096,-9.98732162856417,0.856643356643357,0,0.428321678321678,-9.98732162856417,0.856643356643357,0,0.256993006993007,-7.7179391713577,0.832167832167832,0.0277777777777778,0.590850815850816
"c.bn4",-42.1713182350477,-47.2445879525074,0.547858391608384,0.498426573426573,-0.551520979836373,0.750874125874126,0.277777777777778,0.640972446734393,-3.0721004597847,0.910839160839161,0,0.45541958041958,-3.0721004597847,0.910839160839161,0,0.273251748251748,-0.58922496131255,0.761363636363636,0.25,0.607954545454545
"c.bn6_r20",-9.53396965632419,-14.6072393737839,0.529598873348878,0.49645979020979,-0.518816202104241,0.700174825174825,0.277777777777778,0.567405279635758,-6.6604005505871,0.951923076923077,0,0.475961538461538,-6.6604005505871,0.951923076923077,0,0.285576923076923,-0.518816202104241,0.700174825174825,0.277777777777778,0.573455710955711
"c.bn6",-19.245293820832,-24.3185635382918,0.535159285159291,0.491127622377622,-0.514632021912328,0.722027972027972,0.277777777777778,0.598484886217987,-5.51958105610527,0.952797202797203,0,0.476398601398601,-5.51958105610527,0.952797202797203,0,0.285839160839161,-0.514632021912328,0.722027972027972,0.277777777777778,0.588752913752914
