"id","date","credit_gap","crisis"
"286","BE",2017-04-01,-6,0
"287","BE",2017-07-01,-11.3,0
"288","BE",2017-10-01,-11.4,0
"289","CA",2000-01-01,-4.8,0
"290","CA",2000-04-01,-5.9,0
"291","CA",2000-07-01,-6.7,0
"292","CA",2000-10-01,-8.4,0
"293","CA",2001-01-01,-5.8,0
"294","CA",2001-04-01,-6.1,0
"295","CA",2001-07-01,-3.5,0
"296","CA",2001-10-01,-2.8,0
"297","CA",2002-01-01,0,0
"298","CA",2002-04-01,0.5,0
"299","CA",2002-07-01,0.8,0
"300","CA",2002-10-01,-0.7,0
"301","CA",2003-01-01,-3.8,0
"302","CA",2003-04-01,-4,0
"303","CA",2003-07-01,-4.6,0
"304","CA",2003-10-01,-5,0
"305","CA",2004-01-01,-2,0
"306","CA",2004-04-01,-2.7,0
"307","CA",2004-07-01,-3.7,0
"308","CA",2004-10-01,-3.9,0
"309","CA",2005-01-01,-6.6,0
"310","CA",2005-04-01,-5,0
"311","CA",2005-07-01,-6,0
"312","CA",2005-10-01,-8.2,0
"313","CA",2006-01-01,-7.9,0
"314","CA",2006-04-01,-8,0
"315","CA",2006-07-01,-5.9,0
"316","CA",2006-10-01,-3.9,0
"317","CA",2007-01-01,1,0
"318","CA",2007-04-01,0.7,0
"319","CA",2007-07-01,1.9,0
"320","CA",2007-10-01,2,0
"321","CA",2008-01-01,4.5,0
"322","CA",2008-04-01,3.1,0
"323","CA",2008-07-01,2.9,0
"324","CA",2008-10-01,5.4,0
"325","CA",2009-01-01,8,0
"326","CA",2009-04-01,12.6,0
"327","CA",2009-07-01,16.3,0
"328","CA",2009-10-01,16.3,0
"329","CA",2010-01-01,13.7,0
"330","CA",2010-04-01,12.6,0
"331","CA",2010-07-01,10.3,0
"332","CA",2010-10-01,8.3,0
"333","CA",2011-01-01,7.6,0
"334","CA",2011-04-01,6.5,0
"335","CA",2011-07-01,6.8,0
"336","CA",2011-10-01,3.8,0
"337","CA",2012-01-01,3.9,0
"338","CA",2012-04-01,4.8,0
"339","CA",2012-07-01,5.8,0
"340","CA",2012-10-01,5.8,0
"341","CA",2013-01-01,7.1,0
"342","CA",2013-04-01,8.2,0
"343","CA",2013-07-01,7.9,0
"344","CA",2013-10-01,7,0
"345","CA",2014-01-01,7.5,0
"346","CA",2014-04-01,6.6,0
"347","CA",2014-07-01,7.3,0
"348","CA",2014-10-01,6.2,0
"349","CA",2015-01-01,11,0
"350","CA",2015-04-01,11.8,0
"351","CA",2015-07-01,14.2,0
"352","CA",2015-10-01,15.2,0
"353","CA",2016-01-01,12.8,0
"354","CA",2016-04-01,14.8,0
"355","CA",2016-07-01,15.4,0
"356","CA",2016-10-01,13,0
"357","CA",2017-01-01,12.1,0
"358","CA",2017-04-01,10.3,0
"359","CA",2017-07-01,8.4,0
"360","CA",2017-10-01,6.9,0
"361","CH",2000-01-01,-5.4,0
"362","CH",2000-04-01,-11.5,0
"363","CH",2000-07-01,-13.3,0
"364","CH",2000-10-01,-14.6,0
"365","CH",2001-01-01,-13,0
"366","CH",2001-04-01,-13.1,0
"367","CH",2001-07-01,-15.7,0
"368","CH",2001-10-01,-17.4,0
"369","CH",2002-01-01,-16.8,0
"370","CH",2002-04-01,-15.4,0
"371","CH",2002-07-01,-15.9,0
"372","CH",2002-10-01,-14.3,0
