Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,,,,,,,,,,,,
c.poly4,7.484,1.1012,0.5656,NA,3.049,0.6085,0.3323,0.4807,3.049,0.6085,0.3323,0.4704,-0.2503,1,0,0.3,3.049,0.6085,0.3323,0.5256
c.poly5,5.8809,-0.5018,0.5281,NA,1.8685,0.7311,0.3333,0.6456,0.0904,1,0,0.5,0.0904,1,0,0.3,1.8685,0.7311,0.3333,0.6118
c.poly6,8.1609,1.7782,0.5123,NA,-2.091,0.6604,0.3299,0.5449,-3.428,0.7358,0.2508,0.4933,-0.9815,1,0,0.3,-2.091,0.6604,0.3299,0.5612
c.quad15,3.9587,-2.4241,0.5366,NA,2.5847,0.6415,0.3301,0.5205,2.5847,0.6415,0.3301,0.4858,-2.0563,1,0,0.3,2.5847,0.6415,0.3301,0.5481
c.poly315,3.7475,-2.6352,0.5666,NA,1.9868,0.6321,0.3296,0.5082,2.0524,0.6368,0.3239,0.4803,17.5406,0.9858,0.0058,0.2998,1.9868,0.6321,0.3296,0.5413
c.poly415,3.9367,-2.4461,0.5675,NA,1.5135,0.6085,0.3318,0.4804,1.5135,0.6085,0.3318,0.4702,-0.3336,1,0,0.3,1.5135,0.6085,0.3318,0.5255
c.poly515,8.2867,1.904,0.5033,NA,-1.1499,0.6981,0.3287,0.5954,-13.5042,0.9906,0.006,0.4983,0.2244,1,0,0.3,-1.1499,0.6981,0.3287,0.5873
c.bn815,7.9319,1.5491,0.3792,NA,-0.4596,0.7736,0.3164,0.6986,-175.7728,0.9717,0.0019,0.4868,-175.7728,0.9717,0.0019,0.2929,-0.4596,0.7736,0.3164,0.6364
c.poly320,8.333,1.9502,0.491,NA,2.486,0.75,0.3176,0.6634,18.1779,0.9811,0.0149,0.498,-3.0019,1,0,0.3,2.486,0.75,0.3176,0.6203
c.poly420,3.5738,-2.809,0.5772,NA,2.1512,0.6368,0.3277,0.5129,2.1512,0.6368,0.3277,0.4823,-0.2503,1,0,0.3,2.1512,0.6368,0.3277,0.5441
c.poly520,2.6012,-3.7815,0.5675,NA,1.7648,0.6509,0.326,0.53,2.5716,0.7123,0.2575,0.4849,0.0904,1,0,0.3,1.7648,0.6509,0.326,0.5535
c.poly620,7.6988,1.3161,0.5166,NA,-1.2654,0.6792,0.3296,0.57,-13.9438,0.9906,0.005,0.4978,-0.9815,1,0,0.3,-1.2654,0.6792,0.3296,0.5744
